nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at
NCT04726137,"ClinicalTrials.gov processed this data on January 29, 2021",1/18/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"March 30, 2021",Anticipated,3/30/2021,January 2021,1/31/2021,"April 30, 2022",Anticipated,4/30/2022,"July 31, 2021",Anticipated,7/31/2021,,Observational,SARS-Cov2,,European Pregnancy and Paediatric Infections Cohort Collaboration (EPPICC) SARS-CoV-2 Antibody Study Protocol. Covid-19,European Pregnancy and Paediatric Infections Cohort Collaboration (EPPICC) SARS-CoV-2 Antibody Study Protocol,Not yet recruiting,,,1150,Anticipated,PENTA Foundation,,,,,False,,,,False,False,False,,,,,,,,,No,,2/1/2021 6:38:24 AM,2/1/2021 6:38:24 AM
NCT04726111,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"December 30, 2020",Actual,12/30/2020,January 2021,1/31/2021,"August 30, 2021",Anticipated,8/30/2021,"July 30, 2021",Anticipated,7/30/2021,,Interventional,MaterCov,,COVID-19 and Pregnancy: Placental and Immunological Impacts,COVID-19 and Pregnancy: Placental and Immunological Impacts,Recruiting,,N/A,200,Anticipated,Hopital Foch,,4,,,False,,,,False,False,False,,,,,,,,,,,2/1/2021 6:38:24 AM,2/1/2021 6:38:24 AM
NCT04726098,"ClinicalTrials.gov processed this data on January 29, 2021",1/23/2021,,,1/26/2021,1/26/2021,1/27/2021,Actual,,,,,,,1/26/2021,1/27/2021,Actual,"January 15, 2021",Actual,1/15/2021,January 2021,1/31/2021,"December 31, 2022",Anticipated,12/31/2022,"June 30, 2021",Anticipated,6/30/2021,,Interventional,HIGHLOWDEXA,,Low or High Dose of Dexamethasone in Patients With Respiratory Failure by COVID-19,Efficacy of Low or High Dose of Dexamethasone in Patients With Respiratory Failure by COVID-19,Recruiting,,Phase 4,198,Anticipated,Hospital Clinico Universitario de Santiago,,2,,,False,,,,True,False,False,,,False,,,,,,No,,2/1/2021 6:38:24 AM,2/1/2021 6:38:24 AM
NCT04725097,"ClinicalTrials.gov processed this data on January 29, 2021",1/25/2021,,,1/25/2021,1/25/2021,1/26/2021,Actual,,,,,,,1/25/2021,1/26/2021,Actual,"December 10, 2020",Actual,12/10/2020,January 2021,1/31/2021,"August 30, 2021",Anticipated,8/30/2021,"July 31, 2021",Anticipated,7/31/2021,,Observational,,,A Study to Evaluate Rapid Throughput Screening for Human COVID-19 Infection,Rapid Throughput Screening for Human COVID-19 Infection: A ECG Study,Recruiting,,,10000,Anticipated,Mayo Clinic,,,,,False,,,,,False,False,,,,,,,,,,,2/1/2021 6:38:31 AM,2/1/2021 6:38:31 AM
NCT04725084,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,,,1/25/2021,1/25/2021,1/26/2021,Actual,,,,,,,1/25/2021,1/26/2021,Actual,"July 1, 2020",Actual,7/1/2020,January 2021,1/31/2021,"December 15, 2020",Actual,12/15/2020,"December 15, 2020",Actual,12/15/2020,,Observational,SONIC-19,,Comparison of Non-invasive Oxygenation Strategies in Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Comparison of Non-invasive Oxygenation Strategies in ICU Patients Admitted for Covid-19 Acute Respiratory Distress Syndrome,Completed,,,300,Actual,Centre Hospitalier Intercommunal de Toulon La Seyne sur Mer,,,3,,False,,,,False,False,False,,,,,,,,,No,,2/1/2021 6:38:31 AM,2/1/2021 6:38:31 AM
NCT04724720,"ClinicalTrials.gov processed this data on January 29, 2021",1/13/2021,,,1/25/2021,1/25/2021,1/26/2021,Actual,,,,,,,1/25/2021,1/26/2021,Actual,"January 19, 2021",Actual,1/19/2021,January 2021,1/31/2021,December 2021,Anticipated,12/31/2021,December 2021,Anticipated,12/31/2021,,Interventional,,,Famotidine vs Placebo for the Treatment of Non-Hospitalized Adults With COVID-19,"A Randomized, Double-Blind, Comparative Trial of the Safety and Efficacy of Famotidine vs Placebo for the Treatment of Non-Hospitalized Symptomatic Adults With COVID-19",Recruiting,,Phase 2,84,Anticipated,Northwell Health,,2,,,False,,,,True,True,False,,,True,,,,,,,,2/1/2021 6:38:33 AM,2/1/2021 6:38:33 AM
NCT04724707,"ClinicalTrials.gov processed this data on January 29, 2021",1/16/2021,,,1/25/2021,1/25/2021,1/26/2021,Actual,,,,,,,1/25/2021,1/26/2021,Actual,"September 11, 2020",Actual,9/11/2020,January 2021,1/31/2021,December 2022,Anticipated,12/31/2022,December 2021,Anticipated,12/31/2021,12 Months,Observational [Patient Registry],,,Russian Cardiovascular Registry of COVID-19,An Open Multicenter Observational Study (Registry) of Patients Recovered From Novel Coronavirus Infection (COVID-19) With Involvement of the Cardiovascular System or With Baseline Severe Cardiovascular Diseases,Recruiting,,,900,Anticipated,"Federal State Budgetary Institution, V. A. Almazov Federal North-West Medical Research Centre, of the Ministry of Health",,,5,,False,,,,False,False,False,,,,Samples With DNA,"~     Samples for biochemistry, coagulation and genetic tests~   ",,,,,,2/1/2021 6:38:34 AM,2/1/2021 6:38:34 AM
NCT04724681,"ClinicalTrials.gov processed this data on January 29, 2021",10/21/2020,,,1/24/2021,1/24/2021,1/26/2021,Actual,,,,,,,1/24/2021,1/26/2021,Actual,"February 1, 2021",Anticipated,2/1/2021,January 2021,1/31/2021,"December 31, 2021",Anticipated,12/31/2021,"December 31, 2021",Anticipated,12/31/2021,,Interventional,WARD COVID-19,,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Continuous Wireless Monitoring of Vital Signs and Automated Alerts of Patient Deterioration in Patients Admitted With COVID-19 Infection,Recruiting,,N/A,800,Anticipated,University Hospital Bispebjerg and Frederiksberg,,2,,,False,,,,False,False,False,,,,,,,,,,,2/1/2021 6:38:34 AM,2/1/2021 6:38:34 AM
NCT04724629,"ClinicalTrials.gov processed this data on January 29, 2021",10/5/2020,,,1/23/2021,1/23/2021,1/26/2021,Actual,,,,,,,1/23/2021,1/26/2021,Actual,"January 5, 2021",Actual,1/5/2021,January 2021,1/31/2021,"July 30, 2021",Anticipated,7/30/2021,"March 31, 2021",Anticipated,3/31/2021,,Interventional,STRUCK,,Survival TRial Using CytoKines in COVID-19 (STRUCK Trial),"Prospective-randomized Adaptive Study, With Active Control to Evaluate the Efficacy and Safety of Interleukin (IL)-17 Inhibitor Treatment Versus Low Doses of IL-2 Versus Indirect IL-6 Inhibitor in Hospitalized Patients With Severe Forms of COVID-19",Recruiting,,Phase 3,60,Anticipated,University of Sao Paulo,,4,,,False,,,,True,True,False,,,True,,,,,,,,2/1/2021 6:38:34 AM,2/1/2021 6:38:34 AM
NCT04724616,"ClinicalTrials.gov processed this data on January 29, 2021",1/10/2021,,,1/24/2021,1/24/2021,1/26/2021,Actual,,,,,,,1/24/2021,1/26/2021,Actual,"January 6, 2021",Actual,1/6/2021,January 2021,1/31/2021,June 2021,Anticipated,6/30/2021,June 2021,Anticipated,6/30/2021,,Interventional,CARTOON,,CARTOON: CoronAviRus (COVID-19) educaTional prOgram fOr childreN,CARTOON: CoronAviRus educaTional prOgram fOr childreN to Promote Knowledge and Hygiene Measures and Dispel Fear During the COVID- 19 Pandemic,Recruiting,,N/A,60,Anticipated,Medical University of Vienna,,2,,,False,,,,,False,False,,,,,,,,,Yes,,2/1/2021 6:38:34 AM,2/1/2021 6:38:34 AM
NCT04724538,"ClinicalTrials.gov processed this data on January 29, 2021",12/29/2020,,,1/23/2021,1/23/2021,1/26/2021,Actual,,,,,,,1/23/2021,1/26/2021,Actual,"October 15, 2020",Actual,10/15/2020,January 2021,1/31/2021,"March 15, 2021",Anticipated,3/15/2021,"February 10, 2021",Anticipated,2/10/2021,,Interventional,,,Inhalation Low Dose Radionuclide Therapy in Treatment COVID-19,Inhalation Low Dose Radionuclide Therapy in Comprehensive Treatment of COVID-19 Viral Pneumonia,Recruiting,,Phase 1/Phase 2,15,Anticipated,National Medical Research Radiological Centre of the Ministry of Health of Russia,,4,,,False,,,,,False,False,,,,,,,,,Undecided,,2/1/2021 6:38:35 AM,2/1/2021 6:38:35 AM
NCT04724395,"ClinicalTrials.gov processed this data on January 29, 2021",11/30/2020,,,1/24/2021,1/24/2021,1/26/2021,Actual,,,,,,,1/24/2021,1/26/2021,Actual,January 2021,Anticipated,1/31/2021,January 2021,1/31/2021,January 2023,Anticipated,1/31/2023,January 2023,Anticipated,1/31/2023,,Observational,DisCOVID,,Disability Following Hospitalization in People of Working-age Surviving SARS-CoV-2 Infection - COVID-19,Prospective Multicenter Cohort Study to Evaluate Disability Following Hospitalization in People of Working-age Surviving COVID-19,Not yet recruiting,,,800,Anticipated,Assistance Publique - Hôpitaux de Paris,,,,,False,,,,False,False,False,,,,,,,,,No,,2/1/2021 6:38:36 AM,2/1/2021 6:38:36 AM
NCT04723602,"ClinicalTrials.gov processed this data on January 29, 2021",12/10/2020,,,1/25/2021,1/20/2021,1/26/2021,Actual,,,,,,,1/25/2021,1/27/2021,Actual,"January 6, 2021",Actual,1/6/2021,January 2021,1/31/2021,"December 6, 2021",Anticipated,12/6/2021,"December 6, 2021",Anticipated,12/6/2021,,Interventional,,,"Evaluation of Safety, Tolerability and Immune Responses of Ebola-S and Marburg Vaccines in Healthy Adults","Phase 1b Trial to Evaluate Safety, Tolerability and Immune Responses of 2 Monovalent Chimpanzee Adenoviral Vectored Filovirus (Ebola-S and Marburg) Vaccines to Healthy Adults, Collection of Plasma/Serum for the Purposes of Assay Development",Recruiting,,Phase 1,32,Anticipated,Albert B. Sabin Vaccine Institute,,2,,,False,,,,False,True,False,,,,,,,,,No,,2/1/2021 6:38:42 AM,2/1/2021 6:38:42 AM
NCT04723589,"ClinicalTrials.gov processed this data on January 29, 2021",11/26/2020,,,1/22/2021,1/22/2021,1/25/2021,Actual,,,,,,,1/22/2021,1/25/2021,Actual,"February 1, 2021",Anticipated,2/1/2021,January 2021,1/31/2021,"December 1, 2021",Anticipated,12/1/2021,"December 1, 2021",Anticipated,12/1/2021,,Interventional,RELIC,,Restoration of Endothelial Integrity in Patients With COVID-19 (RELIC),Restoration of Endothelial Integrity in Patients With COVID-19 (RELIC),Not yet recruiting,,Phase 2,40,Anticipated,University of Alabama at Birmingham,,2,,,False,,,,False,True,False,,,True,,,,,,No,,2/1/2021 6:38:42 AM,2/1/2021 6:38:42 AM
NCT04723576,"ClinicalTrials.gov processed this data on January 29, 2021",1/14/2021,,,1/22/2021,1/22/2021,1/25/2021,Actual,,,,,,,1/22/2021,1/25/2021,Actual,"December 3, 2020",Actual,12/3/2020,January 2021,1/31/2021,"November 30, 2023",Anticipated,11/30/2023,February 2022,Anticipated,2/28/2022,,Interventional,COVER-HCW,,Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Mental and Physical Well-Being of Frontline Health Care Workers During Coronavirus Disease 2019 (COVID-19),Recruiting,,N/A,2132,Anticipated,RAND,,2,,,False,,,,True,False,False,,,,,,,,,Undecided,,2/1/2021 6:38:42 AM,2/1/2021 6:38:42 AM
NCT04723563,"ClinicalTrials.gov processed this data on January 29, 2021",1/22/2021,,,1/22/2021,1/22/2021,1/25/2021,Actual,,,,,,,1/22/2021,1/25/2021,Actual,"February 1, 2021",Anticipated,2/1/2021,January 2021,1/31/2021,"May 29, 2021",Anticipated,5/29/2021,"May 1, 2021",Anticipated,5/1/2021,,Interventional,INHALE-HEP,,Nebulized Heparin for the Treatment of COVID-19,INHALEd Unfractionated HEParin for the Treatment of Hospitalized Patients With COVID-19 Pneumonia,Not yet recruiting,,Phase 4,50,Anticipated,Frederick Health,,2,,,False,,,,False,True,False,,,True,,,,,,Undecided,,2/1/2021 6:38:42 AM,2/1/2021 6:38:42 AM
NCT04723550,"ClinicalTrials.gov processed this data on January 29, 2021",1/21/2021,,,1/23/2021,1/21/2021,1/25/2021,Actual,,,,,,,1/23/2021,1/26/2021,Actual,"January 5, 2021",Actual,1/5/2021,January 2021,1/31/2021,"January 5, 2022",Anticipated,1/5/2022,"November 5, 2021",Anticipated,11/5/2021,,Interventional,,,COVID-19 Lockdown Related Telemedicine for Type 2 Diabetes,Impact of Telemedicine on Young and Middle-aged Obese Patients With Type 2 Diabetes Mellitus During COVID-19 Pandemic,Recruiting,,N/A,120,Anticipated,Xuzhou No.1 Peoples Hospital,,2,,,False,,,,False,False,False,,,,,,,,,,,2/1/2021 6:38:42 AM,2/1/2021 6:38:42 AM
NCT04723446,"ClinicalTrials.gov processed this data on January 29, 2021",1/5/2021,,,1/22/2021,1/22/2021,1/25/2021,Actual,,,,,,,1/22/2021,1/25/2021,Actual,"February 1, 2021",Anticipated,2/1/2021,September 2020,9/30/2020,"January 1, 2022",Anticipated,1/1/2022,"July 1, 2021",Anticipated,7/1/2021,,Interventional,COVID-19,,Efficacy of Mouthwashes in Reducing Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Viral Load in the Saliva,Efficacy of Three Antimicrobial Mouthwashes in Reducing SARS-CoV-2 Viral Load in the Saliva of Patients Diagnosed With COVID-19: A Pilot Study,Not yet recruiting,,N/A,40,Anticipated,Queen Mary University of London,,4,,,False,,,,True,False,False,,,,,,,,,No,Aggregated/collective data regarding the efficacy of the different mouthwashes will be shared with the scientific community as a de-identified/coded information,2/1/2021 6:38:43 AM,2/1/2021 6:38:43 AM
NCT04723407,"ClinicalTrials.gov processed this data on January 29, 2021",1/22/2021,,,1/24/2021,1/22/2021,1/25/2021,Actual,,,,,,,1/24/2021,1/26/2021,Actual,"February 1, 2021",Anticipated,2/1/2021,January 2021,1/31/2021,"March 1, 2022",Anticipated,3/1/2022,"January 1, 2022",Anticipated,1/1/2022,,Observational,RICOVID19,,Assessment of the Psychological Impact of the COVID19 (SARS-CoV-2) Pandemic on Patients With Chronic Inflammatory Rheumatism,Assessment of the Psychological Impact of the COVID19 (SARS-CoV-2) Pandemic on Patients With Chronic Inflammatory Rheumatism According to a Management Strategy in the Rheumatology Department of Limoges University Hospital,Not yet recruiting,,,950,Anticipated,"University Hospital, Limoges",,,2,,False,,,,False,False,False,,,,,,,,,,,2/1/2021 6:38:43 AM,2/1/2021 6:38:43 AM
NCT04721457,"ClinicalTrials.gov processed this data on January 29, 2021",1/19/2021,,,1/23/2021,1/19/2021,1/22/2021,Actual,,,,,,,1/23/2021,1/26/2021,Actual,"January 3, 2021",Actual,1/3/2021,January 2021,1/31/2021,"June 30, 2021",Anticipated,6/30/2021,"February 28, 2021",Anticipated,2/28/2021,,Interventional,,,The Efficacy of Pre-procedural Mouth Rinses on COVID-19 Saliva Viral Load,The Efficacy of Pre-procedural Mouth Rinses on SARS-CoV-2 Saliva Viral Load: A Randomized Control Clinical Trial,Recruiting,,Phase 4,120,Anticipated,King Abdulaziz University,,5,,,False,,,,,True,False,,,True,,,,,,No,,2/1/2021 6:38:57 AM,2/1/2021 6:38:57 AM
NCT04721236,"ClinicalTrials.gov processed this data on January 29, 2021",1/20/2021,,,1/21/2021,1/21/2021,1/22/2021,Actual,,,,,,,1/21/2021,1/22/2021,Actual,"November 19, 2020",Actual,11/19/2020,January 2021,1/31/2021,"May 19, 2022",Anticipated,5/19/2022,"November 19, 2021",Anticipated,11/19/2021,,Interventional,COV-II-PLA,,Early Use of Hyperimmune Plasma in COVID-19,COVID-19 Wave II Study for Assessing the Early Use of Hyperimmune Plasma for the Treatment of COVID-19 Patients Needing Non-invasive or Invasive Mechanical Ventilation,Recruiting,,N/A,300,Anticipated,IRCCS Policlinico S. Matteo,,1,,,False,,,,False,False,False,,,,,,,,,Undecided,may be available upon motivated requesto to PI,2/1/2021 6:38:58 AM,2/1/2021 6:38:58 AM
NCT04720794,"ClinicalTrials.gov processed this data on January 29, 2021",10/13/2020,,,1/22/2021,1/20/2021,1/22/2021,Actual,,,,,,,1/22/2021,1/26/2021,Actual,"September 25, 2020",Actual,9/25/2020,January 2021,1/31/2021,"October 20, 2020",Actual,10/20/2020,"October 20, 2020",Actual,10/20/2020,,Interventional,,,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit vs Hologic Panther Fusion,A Study To Evaluate The Performance of the Lucira Health All-In-One COVID-19 Test Kit As Compared To The Hologic Panther Fusion SARS-CoV-2 RT-PCR Assay,Completed,,N/A,101,Actual,Lucira Health Inc,,1,,,False,,,,False,False,True,True,,True,,,,,,No,,2/1/2021 6:39:02 AM,2/1/2021 6:39:02 AM
NCT04720612,"ClinicalTrials.gov processed this data on January 29, 2021",1/13/2021,,,1/20/2021,1/20/2021,1/22/2021,Actual,,,,,,,1/20/2021,1/22/2021,Actual,February 2021,Anticipated,2/28/2021,January 2021,1/31/2021,January 2022,Anticipated,1/31/2022,July 2021,Anticipated,7/31/2021,,Interventional,CIAO,,COVID-19 Immunologic Antiviral Therapy With Omalizumab,COVID-19 Immunologic Antiviral Therapy With Omalizumab - An Adaptive Phase II Randomized-Controlled Clinical Trial,Not yet recruiting,,Phase 2,200,Anticipated,McGill University Health Centre/Research Institute of the McGill University Health Centre,,2,,,False,,,,True,False,False,,,,,,,,,No,,2/1/2021 6:39:03 AM,2/1/2021 6:39:03 AM
NCT04720404,"ClinicalTrials.gov processed this data on January 29, 2021",1/12/2021,,,1/21/2021,1/21/2021,1/22/2021,Actual,,,,,,,1/21/2021,1/22/2021,Actual,"June 23, 2020",Actual,6/23/2020,January 2021,1/31/2021,February 2022,Anticipated,2/28/2022,February 2022,Anticipated,2/28/2022,,Interventional,,,Mindful Prevention of Psychopathology in Healthcare Workers During the COVID-19 Crisis (COVID-19 MindPreP),Mindful Prevention of Psychopathology in Healthcare Workers During the COVID-19 Crisis (COVID-19 MindPreP),Recruiting,,N/A,220,Anticipated,Radboud University,,2,,,False,,,,True,False,False,,,,,,,,,Undecided,,2/1/2021 6:39:04 AM,2/1/2021 6:39:04 AM
