nct_id,id,outcome_type,title,description,time_frame,population,units,dispersion_type,param_type
NCT04646109,6045667,Primary,Heart Rate Means of the Patients,"At the beginning of the study, the heart rates (as per minute) of the patients were measured and the mean heart rate values of both groups were recorded.",At the first day of the study,,beats per minute,Standard Deviation,Mean
NCT04646109,6045656,Primary,Treatment-Related Adverse Events as Assessed by CTCAE v4.0,"Adverse effects of ivermectin and drugs other than ivermectin (Hydroxychloroquine, favipiravir, azithromycin) were evaluated in the patients in the study group and and the number of participants were noted.~Adverse effects of drugs other than ivermectin (Hydroxychloroquine, favipiravir, azithromycin) were evaluated in the patients in the control group and and the number of participants were noted.",At the first 5 days of study,,Participants,,Count of Participants
NCT04646109,6045657,Primary,Genetic Examination of Haplotypes and Mutations That Cause Function Losing for Ivermectin Metabolism,"A blood sample was taken from the patients included in the study group, after taking or during the first dose of ivermectin. From the blood samples, haplotypes and mutations that cause the function losing were investigated by performing sequence analysis of multidrug resistance 1 (MDR1)/ABCB1 and CYP3A4 genes with Sanger method. In case of detection of mutation, the patient were excluded from the study and if observed, side effects of ivermectin were noted.",At the first day of ivermectin therapy (1st day),"We aimed to investigate the effectiveness/safety of adding ivermectin to the COVID-19 treatment in patients without mutation. Since ivermectin was not given to the control group, no blood sample was taken from these patients for mutation screening. The reason why there are 36 patients in the study group in this table is to indicate that there are 6 patients who were included in the study group but were removed from the study group because of a mutation and were replaced by additional patients.",Participants,,Count of Participants
NCT04646109,6045658,Primary,Changes in Serum D-dimer Levels,"Baseline serum D-dimer levels (mg/L) of the patients were recorded in both groups. Then, their treatments were started and serum D-dimer levels at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in serum D-dimer levels on the 1st, 3rd and 5th days after the basal level was calculated graphically, the change in the serum D-dimer level at the end of the 5th day (primary endpoint) with the baseline level was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,mg/L,Standard Deviation,Mean
NCT04646109,6045659,Primary,Changes in Serum Ferritin Levels,"Baseline serum ferritin levels (mg/dL) of the patients were recorded in both groups. Then, their treatments were started and serum ferritin levels at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in serum ferritin levels on the 1st, 3rd and 5th days after the basal level was calculated graphically, the change in the serum ferritin level at the end of the 5th day (primary endpoint) with the baseline level was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,mg/dL,Standard Deviation,Mean
NCT04646109,6045660,Primary,Changes in the Ratio of Polymorphonuclear Leukocyte Count to Lymphocyte Count (PNL/L),"Baseline PNL/L ratio of the patients were recorded in both groups. Then, their treatments were started and PNL/L ratios at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in PNL/L ratios on the 1st, 3rd and 5th days after the basal level was calculated graphically, the change in the PNL/L ratio at the end of the 5th day (primary endpoint) with the baseline ratio was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,Ratio,Standard Deviation,Mean
NCT04646109,6045661,Primary,Changes in Serum Lymphocyte Counts,"Baseline Serum Lymphocyte counts (cell/mm^3) of the patients were recorded in both groups. Then, their treatments were started and Serum Lymphocyte counts at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in Serum Lymphocyte counts on the 1st, 3rd and 5th days after the basal level was calculated graphically, the change in the Serum Lymphocyte count at the end of the 5th day (primary endpoint) with the baseline count was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,cell/mm^3,Standard Deviation,Mean
NCT04646109,6045662,Primary,Changes in the Ratio of Partial Pressure of Oxygen (PaO2) to Fraction of Inspired Oxygen (FiO2) (PaO2/FiO2),"Baseline PaO2/FiO2 ratios of the patients were recorded in both groups. Then, their treatments were started and PaO2/FiO2 ratios at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in PaO2/FiO2 ratios on the 1st, 3rd and 5th days after the basal ratio was calculated graphically, the change in the PaO2/FiO2 ratio at the end of the 5th day (primary endpoint) with the baseline value was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,Ratio,Standard Deviation,Mean
NCT04646109,6045663,Primary,Changes in Oxygen Saturation (SpO2) Values,"Baseline SpO2 values of the patients were recorded in both groups. Then, their treatments were started and SpO2 values at the end of the 1st (TD1), 3rd (TD3) and 5th days (TD5) were also recorded. The end of the 5th day was accepted as the primary endpoint. While the change in SpO2 values on the 1st, 3rd and 5th days after the basal value calculated graphically, the change in the SpO2 value at the end of the 5th day (primary endpoint) with the baseline value was compared statistically (the results were given as p value).",From starting to the end of ivermectin therapy (0 to the end of 5th day),,percentage of peripheral capillary O2,Standard Deviation,Mean
NCT04646109,6045664,Primary,Number of Participants With Clinical Response,"The presence of at least two of the following criteria in patients at the end of 5th day were accepted as clinical response: Extubation in mechanically ventilated patients, respiratory rate <26/min, SpO2 level in room air >90%, PaO2/FiO2 >300 in patients receiving oxygen, presence of at least two of the 2-point reduction criteria in Sequential Organ Failure Assessment (SOFA) score.",From starting to the end of ivermectin therapy (0 to the end of 5th day),,Participants,,Count of Participants
NCT04646109,6045665,Primary,Systolic and Diastolic Pressure Means of the Patients,"At the beginning of the study, the systolic and diastolic pressures (as mmHg) of the patients were measured and the mean systolic and diastolic pressure values of both groups were recorded.",At the first day of the study,,mmHg,Standard Deviation,Mean
NCT04646109,6045666,Primary,Respiratory Rate Means of the Patients,"At the beginning of the study, the respiratory rates (as per minute) of the patients were measured and the mean respiratory rate values of both groups were recorded.",At the first day of the study,,breaths per minute,Standard Deviation,Mean
NCT04435808,6045852,Secondary,Adverse Effect Profile of Hydroxychloroquine,Will assess the adverse effect profile of the study drug via serial surveys,3 months,,,,
NCT04646109,6045668,Primary,Body Temperature Means of the Patients,"At the beginning of the study, the body temperatures (as degree celcius) of the patients were measured and the mean body temperature values of both groups were recorded.",At the first day of the study,,Degree celcius,Standard Deviation,Mean
NCT04646109,6045669,Primary,Percentage of Patients With Baseline Clinical Symptoms,"At the beginning of the study, the patients were asked whether there were any of the following clinical symptoms and the percentage of patients with any of the clinical symptoms in both groups were recorded:~Fever~Cough~Sore throat~Dispnea~Headache~Weakness~Myalgia~Diarrhea~Nausea or vomiting",At the first day of the study,,Participants,,Count of Participants
NCT04646109,6045670,Primary,Percentage of Patients With Accompanying Diseases,"At the beginning of the study, the patients were asked whether there were any of the following accompanying diseases and the percentage of patients with accompanying disease in both groups were recorded:~Diabetes mellitus~Hypertension~Coronary artery disease~Cardiac failure~Chronic obstructive pulmonary disease~Malignancy~Immunodeficiency",At the first day of the study,,Participants,,Count of Participants
NCT04646109,6045671,Primary,Age Distribution of the Patients,The age of the patients (years) in both groups were recorded at the time of inclusion.,At the first day of the study,,Years,Standard Deviation,Mean
NCT04646109,6045672,Primary,Gender Distribution of the Patients,The gender of patients (Male/female) in both groups were recorded at the time of inclusion.,At the first day of the study,,Participants,,Count of Participants
NCT04542694,6045708,Secondary,Time Before the End of Fever,Time (in days) before the end of fever (body temperature < 37.2 ° C for 3 consecutive days without antipyretic medication).,28 days,patients who received at least one dose of the drug in the study and for whom there is data for at least one visit after the baseline,days,Inter-Quartile Range,Median
NCT04542694,6045709,Secondary,Rate of Viral Elimination by Day 10,Percentage of patients with elimination (clearance) of COVID-19 according to PCR data by day 10 (negative PCR results).,10 days,patients who received at least one dose of the drug in the study and for whom there is data for at least one visit after the baseline,Participants,,Count of Participants
NCT04542694,6045700,Post-Hoc,A Number of Patients With Fever Reduction Below 37.2 ° C by the 3rd Day of Therapy,,3 days,,Participants,,Count of Participants
NCT04542694,6045701,Post-Hoc,The Number of Patients Achieved a Category Lower Than or Equal to 2 on the WHO Clinical Improvement Scale (They Were Discharged From Hospital),,10 days,,Participants,,Count of Participants
NCT04542694,6045702,Post-Hoc,Amount of Patients Without Any Clinical Signs of Disease by the Completion of Therapy (Category 0 According to a WHO Categorical Ordinal Scale),,10 days,,Participants,,Count of Participants
NCT04542694,6045703,Secondary,Mortality,Incidence of fatal cases (% of patients),28 Days,the number of patients who died,Participants,,Count of Participants
NCT04542694,6045704,Secondary,Rate of the Use of Mechanical Ventilation,Percentage of cases with mechanical lung ventilation (% of patients),28 Days,the number of patients who required mechanical lung ventilation,Participants,,Count of Participants
NCT04542694,6045705,Secondary,Rate of the Use of Non-invasive Lung Ventilation,Percentage of cases with non-invasive lung ventilation (% of patients).,28 Days,the number of patients who required non-invasive lung ventilation,Participants,,Count of Participants
NCT04542694,6045706,Secondary,Rate of Transfer to the Intensive Care Unit,Percentage of patients transferred to intensive care unit (% of patients).,28 Days,the number of patients who required transfer to the intensive care unit,Participants,,Count of Participants
NCT04542694,6045707,Secondary,Change in the Level of Lung Damage According to CT,Assessment of lung injury (degree of damage by empirical visual scale and % of patients) according to CT data comparing to baseline. The number of patients in whom by the end of therapy there was an improvement in the condition of the lungs (a decrease in the volume of the lesion according to CT),"Days 15, 21, 28",The number of patients in whom by the end of therapy there was an improvement in the condition of the lungs (a decrease in the volume of the lesion according to CT),Participants,,Count of Participants
NCT04542694,6045710,Primary,Time to Clinical Improvement,Time (in days) to improvement in clinical status by WHO categorical ordinal scale of clinical status improvement.,28 days,patients who received at least one dose of the drug in the study and for whom there is data for at least one visit after the baseline,days,Inter-Quartile Range,Median
NCT04542694,6045711,Primary,Rate of Clinical Status Improvement,"Rate of clinical status improvement by categorical ordinal scale of clinical status improvement by 2 or more categories by Day 10 WHO Ordinal Scale for Clinical Improvement (WHO-OSCI), 0 - uninfected (There are no clinical and virological signs of infection), 8 - dead, higher scores mean a worse outcome","By Visit 3, approximately 10 days",Intent-tо-treat population,Participants,,Count of Participants
NCT04542226,6045712,Secondary,Number of Participants With Discontinuation of Drug Administration,Number of participants with Permanent or temporary discontinuation of infusions or injections due to adverse events,Days 1 - 17.,,Participants,,Count of Participants
NCT04542226,6045713,Secondary,The Number of Participants With Adverse Events,The number of participants with adverse events (AE),Days 1 - 29.,,Participants,,Count of Participants
NCT04542226,6045714,Secondary,The Number of Participants With Serious Adverse Events,The number of participants with serious adverse events (SAE),Days 1 - 29.,,Participants,,Count of Participants
NCT04542226,6045715,Secondary,Mortality,Number of participants who were dead or alive (Days 1 - 29),Days 1 - 29.,,Participants,,Count of Participants
NCT04542226,6045716,Secondary,Hospitalisation Duration,Duration of hospitalisation,Days 1 - 29,Administration of Polyoxidonium was canceled due to Adverse event in 1 patient. Patient received only 2 injections.This is the reason why the needed information for this Outcome Measure is absent for 1 patient.,days,Standard Deviation,Mean
NCT04542226,6045717,Secondary,Number of Patients Requiring Supplementary Oxygen,"Number of patients requiring supplementary oxygen on Days 3, 5, 8, 11, 15, 29","Days intervals 1 (baseline), 3, 5, 8, 11, 15, 29.",,Participants,,Count of Participants
NCT04542226,6045718,Secondary,Clinical Status of the Patient (According to National Early Warning Score (NEWS Scale)),"NEWS scale score status, time to a discharge from a hospital or to a NEWS of ≤ 2 and maintained for 24 hours, whichever occurs first.~NEWS score is based on 7 clinical parameters:~respiration rate, oxygen saturation, supplemental oxygen, systolic blood pressure, pulse rate, level of consciousness, temperature. A score of 0, 1, 2, 3 is allocated to each parameter except supplemental oxygen (a score 0 or 1 is allocated) and level of consciousness (a score 0 or 3 is allocated). A higher score means the parameter is further from the normal range. All scores were summed to get an aggregate score. Aggregate score ranges from 0 to 19, with higher scores meaning higher risk.~Low risk - aggregate score, 1-4 Low to medium risk - score 3 in any single parameter, Medium risk - aggregate score 5-6, High risk - aggregate score 7-19.",Days 1 - 29.,Administration of Polyoxidonium was canceled due to Adverse event in 1 patient. Patient received only 2 injections.This is the reason why the needed information for this Outcome Measure is absent for 1 patient.,days,Standard Deviation,Mean
NCT04542226,6045719,Secondary,Time to Improvement in Clinical Status of the Patient (According to Ordinal Scale) by 1 Point for Each OS Score,"Ordinal scale (OS) score status, time to improvement by 1 point for each OS score.~Subject clinical status using the 7-point Ordinal Scale:~- Not hospitalized, no limitations on activities;~- Not hospitalized, limitation on activities;~- Hospitalized, not requiring supplemental oxygen;~- Hospitalized, requiring supplemental oxygen;~- Hospitalized, on non-invasive ventilation or high flow oxygen devices;~- Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation;~- Death.",Days 1 - 29.,Administration of Polyoxidonium was canceled due to Adverse event in 1 patient. Patient received only 2 injections.This is the reason why the needed information for this Outcome Measure is absent for 1 patient.,days,Standard Deviation,Mean
NCT04542226,6045720,Primary,Clinical Status of the Patient (According to 7-point Ordinal Scale),"Subject clinical status using the 7-point Ordinal Scale, specified as the primary endpoint in the WHO Master Protocol on day 15 as compared to baseline~(1 - Not hospitalized, no limitations on activities; 2 - Not hospitalized, limitation on activities; 3 - Hospitalized, not requiring supplemental oxygen; 4 - Hospitalized, requiring supplemental oxygen; 5 - Hospitalized, on non-invasive ventilation or high flow oxygen devices; 6 - Hospitalized, on invasive mechanical ventilation or extracorporeal membrane oxygenation; 7 - Death).","Day 1 (Baseline), Day 15",,Participants,,Count of Participants
NCT04491240,6045778,Secondary,Lactic Acid Dehydrogenase (LDH),Lactic Acid Dehydrogenase (LDH) level in serum,At the beginning of inhalation (day 1) and on next day of last inhalation (day 11),,U/L,Full Range,Mean
NCT04491240,6045779,Secondary,C-reactive Protein,Blood biochemistry C reactive protein level in serum.,At the begining of inhalation (day 1) and on next day of last inhalation (day 11),,mg/L,Full Range,Mean
NCT04523831,6045757,Secondary,Number of Patients Remain Persistently Positive for RT-PCR of Covid-19,Number of Patients remain positive for RT-PCR of Covid-19 at day 14 after the day of initial positivity.,14 days,Intention to treat analysis. Binary logistic regression,Participants,,Count of Participants
NCT04523831,6045758,Secondary,Number of Patients Having Clinical Deterioration.,"Number of patients deteriorating to next level of severity, like moderate, severe and death. That is from mild illness at presentation with subsequent follow up developed moderate, severe illness or death. Like wise from moderate illness at presentation developed severe illness or death.~Mild illness: These patients usually present with symptoms of an upper respiratory tract viral infection, including mild fever, cough (dry), sore throat, nasal congestion, malaise, headache, muscle pain, or malaise. Signs and symptoms of a more serious disease, such as dyspnea, are not present Moderate illness: Respiratory symptoms such as cough and shortness of breath (or tachypnea in children) are present without signs of severe pneumonia.~Severe illness:severe dyspnea, respiratory distress, tachypnea (> 30 breaths/min), and hypoxia (SpO2 < 90% on room air).",1 month,Intention to treat analysis. Binary Logistic regression,Participants,,Count of Participants
NCT04523831,6045759,Primary,Number of Participants With Late Clinical Recovery,Number of the patients required more than 12 days for clinical improvement as defined above.,12 days,Intention to treat analysis. Binary logistic regression,Participants,,Count of Participants
NCT04523831,6045760,Primary,Number of Patients With Early Clinical Improvement,"Number of patients have clinical improvement as described by WHO and Bangladesh local guideline with 7 days..~Body temperature remains normal for at least 3 days (ear temperature is lower than 37.5 °C).~Respiratory symptoms are significantly improved.~Lung imaging shows obvious improvement in lesions.~There is no co-morbidities or complications which require hospitalization.~SpO2, >93% without assisted oxygen inhalation.",7 days,Intention to treat analysis. Linear logistic regression,Participants,,Count of Participants
NCT04491994,6045776,Secondary,Viral Clearance,PCR negativity on day 7 and 14 after admission,14 days,,,,
NCT04491994,6045777,Primary,Number of Participants With Progression,"After start of treatment, development of fever > 101 F for > 72 hours, shortness of breath by minimal exertion (10-Step walk test), derangement of basic lab parameters (ALC < 1000 or raised CRP) or appearance of infiltrates on CXR during course of treatment was labeled as progression irrespective of PCR status",5 days,,Participants,,Count of Participants
NCT04400682,6045890,Primary,AUC0-tlast,AUC0-tlast of favipiravir will be obtained from plasma concentrations,0 to 24 hours post dose,,ng*hr/mL,Standard Deviation,Least Squares Mean
NCT04491240,6045780,Secondary,SpO2 Concentration,The concentration of SpO2 by Pulse oximetry device during procedures in the groups. The measure was done before and after each inhalation (total 4 measures per day). The intraday SpO2 data of all patients in groups was calculated as Median with Inter-Quartile Range and presented in the table by days.,10 days during inhalation,,O2 concentration in percent,Inter-Quartile Range,Median
NCT04491240,6045781,Secondary,Time to Clinical Recovery (TTCR),Measure and compare time to clinical recovery compared to placebo. Time to clinical recovery calculated by the number of days the patient has hospitalized.,"from first inhalation until discharge from the clinic, up to 30 days",,days,Standard Deviation,Mean
NCT04491240,6045782,Primary,Number of Participants With Non-serious and Serious Adverse During Inhalation Procedure,Safety assessments such as adverse events during the inhalation procedures will be registered.,after each inhalation during 10 days,,Participants,,Count of Participants
NCT04491240,6045783,Primary,Number of Participants With Non-serious and Serious Adverse Events During Trial,Safety assessment such as adverse events will be registered. Adverse events will be monitored during all trial,30 days after clinic discharge,,Participants,,Count of Participants
NCT04435808,6045853,Secondary,Impact of Hydroxychloroquine Use on Need for ICU Care With SARS-CoV-2 Infection,Will assess the severity of any SARS-CoV-2 infections amongst health care workers taking and not taking hydroxychloroquine. This will include determination of the need for ICU care.,3 months,,,,
NCT04435808,6045850,Secondary,Metagenomic Next Generation Sequencing of SARS-CoV-2 Isolates,"Will perform mNGS on any recovered SARS-CoV-2 isolates from subjects to identify the genomic lineage of the virus and to compare this with SARS-CoV-2 genomes circulating in the hospital system, the community and nationally. This may provide evidence as to the source of the infection (e.g. a hospital-based infection vs. a community infection vs. a travel-associated infection out of state).",3 months,,,,
NCT04435808,6045851,Secondary,Seroconversion Following SARS-CoV-2 Infection,Will collect monthly blood samples for serological analysis,3 months,,,,
NCT04435808,6045854,Secondary,Impact of Hydroxychloroquine Use on Need for Hospitalization With SARS-CoV-2 Infection,Will assess the severity of any SARS-CoV-2 infections amongst health care workers taking and not taking hydroxychloroquine. This will include assessments of hospital admissions.,3 months,,,,
NCT04435808,6045855,Secondary,Occupational Health Exposure,Assess the role of exposure levels to Covid-19 patients amongst health care workers and its impact of infection rates,3 months,,,,
NCT04435808,6045856,Secondary,Symptomatic vs. Asymptomatic Infection With SARS-CoV-2,Determine the frequency of symptomatic vs. asymptomatic SARS-CoV-2 infections in health care workers during the study via serial PCR testing and symptom surveys,3 months,,,,
NCT04435808,6045857,Primary,SARS-CoV-2 Infection,Number of health care workers who become infected with SARS-CoV-2 as detected by PCR,3 months,DSMB stopped trial early prior to any data collection.,,,
NCT04425863,6045858,Primary,Adverse Events,Patient presenting serious adverse events,14 days,,Participants,,Count of Participants
NCT04425863,6045859,Primary,Patients Needing Drug Dose Adjustment,Patients who needed dose adjustment of any of the drugs involved in the treatment protocol,14 days,,Participants,,Count of Participants
NCT04425863,6045860,Primary,Mortality,Patients who died within 30 days after enrollment,30 days,,Participants,,Count of Participants
NCT04425863,6045861,Primary,ICU-treated Patients After 2-week Treatment,Number of patients needing ICU-treatment including mechanical ventilation after 2-week treatment,14 days,,Participants,,Count of Participants
NCT04425863,6045862,Primary,Patients Who Improved Their Condition or Did Not Worsen it,"Number of patients who did not go to a more severe stage of disease or die (i.e. they neither go from mild to moderate or severe, nor go from moderate to severe or die, if they had been already enrolled in a severe condition)",7 days,,Participants,,Count of Participants
NCT04425850,6045863,Secondary,Adverse Events Other Than Those Resulting From Contagion or Disease Progression,Adverse events reported by subjects of each arm are recorded other than those resulting from contagion or disease progression,28 days,Hispanic,Participants,,Count of Participants
NCT04425850,6045864,Primary,Number of Infected Subjects,Number of participants testing positive for COVID-19 after inclusion in each arm,28 days,Hispanic,Participants,,Count of Participants
NCT04422561,6045865,Secondary,Development of COVID,by swab,within 14 days after enrollement,,,,
NCT04422561,6045866,Primary,"Development of Symptoms ( Fever ,Cough, Sore Throat, Myalgia,Diarrhea, Shortness of Breath)",history taking and clinical examination,within 14 days after enrollement,,Participants,,Count of Participants
NCT04410159,6045867,Secondary,Number of Patients With Abnormal Laboratory Findings,Abnormal absolute lymphocytic count Abnormal C-reactive protein,Day 0-14,,Participants,,Count of Participants
NCT04410159,6045868,Secondary,Number of Patients With Abnormal Radiological Findings,abnormal chest x-ray or CT scan,Day 0-14,,Participants,,Count of Participants
NCT04410159,6045869,Secondary,Number of Patients That Progress to More Severe Disease,Presence of signs and symptoms of more severe COVID19 Based symptoms diary and clinical evaluation,Day 12,,Participants,,Count of Participants
NCT04410159,6045870,Secondary,Number of Participants With Negative RT-PCR Results,RT-PCR (swabs from oropharynx and nasopharynx) taken at day 12,Day 12,,Participants,,Count of Participants
NCT04410159,6045871,Primary,Number of Participants With Early Viral Clearance,Viral clearance is defined as two negative RT-PCR (of swabs from oropharynx and nasopharynx) results at least 24 hours apart,Day 6,,Participants,,Count of Participants
NCT04406194,6045872,Secondary,Tmax of Favipiravir,Time to reach maximum plasma concentration of favipiravir,0 to 24 hours post-dose,29 subjects were analysed and included in statistical analysis.,hr,Standard Deviation,Mean
NCT04406194,6045873,Secondary,AUC0-inf of Favipiravir,Area under the plasma concentration curve to infinite time of favipiravir,0 to 24 hours post-dose,29 subjects were analysed and included in statistical analysis.,ng*hr/mL,Standard Deviation,Mean
NCT04406194,6045874,Primary,Cmax of Favipiravir,Maximum plasma concentration of favipiravir,0 to 24 hours post-dose,29 subjects were analysed and included in statistical analysis.,ng/mL,Standard Deviation,Mean
NCT04406194,6045875,Primary,AUC0-tlast of Favipiravir,Area under the concentration-time curve of favipiravir in plasma over the time interval from 0 to 24 hours,0 to 24 hours post-dose,29 subjects were analysed and included in statistical analysis.,ng*hr/mL,Standard Deviation,Mean
NCT04400682,6045888,Secondary,AUC0-inf of Favipiravir,AUC0-inf of favipiravir will be obtained from plasma concentrations,0 to 24 hours post dose,All of the 25 subjects were included in statistical analysis,ng*hr/mL,Standard Deviation,Least Squares Mean
NCT04400682,6045889,Primary,Favipiravir Cmax,Favipiravir Cmax Cmax of favipiravir will be obtained from plasma concentrations,0 to 24 hours post dose,All of the 25 subjects were included in statistical analysis.,ng/mL,Standard Deviation,Least Squares Mean
NCT04400682,6045887,Secondary,Tmax of Favipiravir,tmax of favipiravir will be obtained from plasma concentrations,0 to 24 hours post dose,All of the 25 subjects were included in statistical analysis.,hr,Standard Deviation,Mean
NCT04390022,6045918,Secondary,Results From Cytokine Human Magnetic 30-Plex Panel,"Concentration (all in pg/mL) of epidermal growth factor (EGF), fibroblast growth factor (FGF), granulocyte colony-stimulating factor (G-CSF), granulocyte-macrophage colony-stimulating factor (GM-CSF), hepatocyte growth factor (HGF), vascular endothelial growth factor (VEGF), tumour necrosis factor (TNF), interferon (IFN)-α, IFN-γ, interleukin (IL)-1RA, IL-1β, IL-2, IL-2R, IL-4, IL-5, IL-6, IL-7, IL-8, IL-10, IL-12(p40/p70), IL-13, IL-15, IL-17, IFN-γ induced protein (IP-10), monocyte chemoattractant protein (MCP-1), monokine induced by IFN-γ (MIG), macrophage inflammatory protein (MIP)-1α, MIP-1β in plasma measured by a Luminex assay using a commercially available kit (Cytokine Human Magnetic 30-Plex Panel from ThermoFisher).~[Results not yet available]",Up to and including day 28,,,,
