nct_id,id,status,name,city,state,zip,country
NCT04334928,74842501,Recruiting,Hospital Universitario de Ferrol,ferrol,a coruña,,spain
NCT04334928,74842502,Recruiting,Hospital Clínico Universitario de Santiago,santiago de compostela,a coruña,,spain
NCT04334928,74842503,Recruiting,Hospital General de Elche,elche,alicante,,spain
NCT04334928,74842504,Recruiting,Hospital Universitario Central de Asturias,oviedo,asturias,,spain
NCT04334928,74842505,Recruiting,Hospital Sant Joan de Deu de Esplugues,esplugues de llobregat,barcelona,,spain
NCT04334928,74842506,Recruiting,Parc Sanitari Sant Joan de Déu de Sant Boi,sant boi de llobregat,barcelona,,spain
NCT04334928,74842507,Recruiting,Hospital Moisès Broggi,sant joan despí,barcelona,08970,spain
NCT04334928,74842508,Recruiting,Hospital Infanta Margarita,cabra,córdoba,,spain
NCT04334928,74842509,Recruiting,Hospital Insular de Las Palmas,las palmas de gran canaria,gran canaria,,spain
NCT04334928,74842510,Recruiting,Hospital Universitario de Canarias,las palmas de gran canaria,gran canaria,,spain
NCT04334928,74842511,Recruiting,Hospital de Donostia,san sebastián,guipuzcoa,,spain
NCT04334928,74842512,Recruiting,Hospital San Pedro,logroño,la rioja,,spain
NCT04334928,74842513,Recruiting,Hospital Principe de Asturias,alcalá de henares,madrid,,spain
NCT04334928,74842514,Recruiting,Hospital Fundación de Alcorcón,alcorcón,madrid,,spain
NCT04334928,74842515,Recruiting,Hospital Colllado Villalba,collado-villalba,madrid,,spain
NCT04334928,74842516,Recruiting,Hospital de Getafe,getafe,madrid,28905,spain
NCT04334928,74842517,Recruiting,Hospital Severo Ochoa,leganés,madrid,,spain
NCT04334928,74842518,Recruiting,Hospital de Móstoles,móstoles,madrid,28935,spain
NCT04334928,74842519,Recruiting,Hospital Rey Juan Carlos,móstoles,madrid,,spain
NCT04334928,74842520,Recruiting,Hospital Quirón Pozuelo,pozuelo de alarcón,madrid,,spain
NCT04334928,74842521,Recruiting,Hospital de Torrejón,torrejón de ardoz,madrid,,spain
NCT04334928,74842522,Recruiting,Hospital Infanta Elena,valdemoro,madrid,,spain
NCT04334928,74842523,Recruiting,Hospital Virgen del Castillo,yecla,murcia,,spain
NCT04334928,74842524,Recruiting,Hospital Costa del Sol,marbella,málaga,,spain
NCT04334928,74842525,Recruiting,Complejo Hospitalario de Navarra,pamplona,navarra,,spain
NCT04334928,74842526,Recruiting,Hospital Reina Sofía,tudela,navarra,31500,spain
NCT04334928,74842527,Recruiting,Hospital Arnau de Vilanova,llíria,valencia,,spain
NCT04334928,74842528,Recruiting,Hospital de Araba,alava,vitoria,,spain
NCT04334928,74842529,Recruiting,Hospital General Universitario de Albacete,albacete,,,spain
NCT04334928,74842530,Recruiting,Centro Médico Teknon,barcelona,,,spain
NCT04334928,74842531,Recruiting,Hospital Clinic,barcelona,,,spain
NCT04334928,74842532,Recruiting,Hospital del Mar,barcelona,,,spain
NCT04334928,74842533,Recruiting,Hospital Dexeus,barcelona,,,spain
NCT04334928,74842534,Recruiting,Hospital Quirón Barcelona,barcelona,,,spain
NCT04334928,74842535,Recruiting,Hospital Universitario Sagrat Cor,barcelona,,,spain
NCT04334928,74842536,Recruiting,Hospital Universitario de Burgos,burgos,,,spain
NCT04334928,74842537,Recruiting,Hospital Virgen de la Luz,cuenca,,,spain
NCT04334928,74842538,Recruiting,Hospital Clínico San Cecilio,granada,,,spain
NCT04334928,74842539,Recruiting,Hospital Universitario de León,león,,,spain
NCT04334928,74842540,Recruiting,Hospital Universitario Ramón y Cajal,madrid,,28034,spain
NCT04334928,74842541,Recruiting,Fundación Jiménez Díaz,madrid,,,spain
NCT04334928,74842542,Recruiting,Hospital Clinico San Carlos,madrid,,,spain
NCT04334928,74842543,Recruiting,Hospital Infanta Leonor,madrid,,,spain
NCT04334928,74842544,Recruiting,Hospital La Princesa,madrid,,,spain
NCT04334928,74842545,Recruiting,Hospital Universitario 12 de Octubre,madrid,,,spain
NCT04334928,74842546,Recruiting,Hospital Universitario Gregorio Marañon,madrid,,,spain
NCT04334928,74842547,Recruiting,Hospital Universitario La Paz,madrid,,,spain
NCT04334928,74842548,Recruiting,Hospital Universitario Puerta de Hierro,madrid,,,spain
NCT04334928,74842549,Recruiting,Hospital Reina Sofía,murcia,,,spain
NCT04334928,74842550,Recruiting,Hospital Universitario Virgen de la Arrixaca,murcia,,,spain
NCT04334928,74842551,Recruiting,Hospital Virgen de la Victoria,málaga,,,spain
NCT04334928,74842552,Recruiting,Complejo Asistencial de Palencia,palencia,,,spain
NCT04334928,74842553,Recruiting,Hospital Universitario de Salamanca,salamanca,,,spain
NCT04334928,74842554,Recruiting,Hospital General de Segovia,segovia,,,spain
NCT04334928,74842555,Recruiting,Hospital Virgen del Rocio,sevilla,,,spain
NCT04334928,74842556,Recruiting,Hospital Virgen Macarena,sevilla,,,spain
NCT04334928,74842557,Recruiting,Hospital Clinico Universitario,valencia,,,spain
NCT04334928,74842558,Recruiting,Hospital Dr. Peset,valencia,,,spain
NCT04334928,74842559,Recruiting,Hospital General de Valencia,valencia,,,spain
NCT04334928,74842560,Recruiting,Hospital La Fe,valencia,,,spain
NCT04334928,74842561,Recruiting,Hospital de Valladolid,valladolid,,,spain
NCT04334928,74842562,Recruiting,Hospital Rio Hortega,valladolid,,,spain
NCT04334928,74842563,Recruiting,Hospital Lozano Blesa,zaragoza,,,spain
NCT04334928,74842564,Recruiting,Hospital Miguel Servet,zaragoza,,,spain
NCT04334928,74842565,Recruiting,Hospital Nuestra Señora de Sonsoles,ávila,,,spain
NCT04334850,74842581,Recruiting,Intensive care department-Hospital Tenon,paris,,75020,france
NCT04334629,74842613,Recruiting,Guy's and St Thomas' NHS Foundation Trust,london,,,united kingdom
NCT04334512,74842744,Recruiting,ProgenaBiome,ventura,california,93003,united states
NCT04334460,74842840,,Blade Research Site,irvine,california,92697,united states
NCT04334460,74842841,,Blade Research Site,los angeles,california,90048,united states
NCT04334460,74842842,,Blade Reseach Site,san jose,california,95128,united states
NCT04334460,74842843,,Blade Research Site,washington,district of columbia,20007,united states
NCT04334460,74842844,,Blade Research Site,washington,district of columbia,20010,united states
NCT04334460,74842845,,Blade Research Site,brandon,florida,33511,united states
NCT04334460,74842846,,Blade Research Site,fort pierce,florida,34982,united states
NCT04334460,74842847,,Blade Research Site,panama city,florida,32405,united states
NCT04334460,74842848,,Blade Research Site,tampa,florida,33620,united states
NCT04334460,74842849,,Blade Research Site,idaho falls,idaho,83404,united states
NCT04334460,74842850,,Blade Research Site,peoria,illinois,61603,united states
NCT04334460,74842851,,Blade Research Site,ames,iowa,50010,united states
NCT04334460,74842852,,Blade Research Site,lexington,kentucky,40503,united states
NCT04334460,74842853,,Blade Research Site,louisville,kentucky,40207,united states
NCT04334460,74842854,,Blade Research Site,baltimore,maryland,21201,united states
NCT04334460,74842855,,Blade Research Site,detroit,michigan,48202,united states
NCT04334460,74842856,,Blade Research Site,farmington hills,michigan,48334,united states
NCT04334460,74842857,,Blade Research Site,omaha,nebraska,68114,united states
NCT04334460,74842858,,Blade Research Site,ridgewood,new jersey,07450,united states
NCT04334460,74842859,,Blade Research Site,charleston,north carolina,29414,united states
NCT04334460,74842860,,Blade Research Site,durham,north carolina,27708,united states
NCT04334460,74842861,,Blade Research Site,fayetteville,north carolina,28304,united states
NCT04334460,74842862,,Blade Research Site,philadelphia,pennsylvania,19140,united states
NCT04334460,74842863,,Blade Research Site,charleston,south carolina,29414,united states
NCT04334460,74842864,,Vanderbilt University Medical Center,nashville,tennessee,37203,united states
NCT04334460,74842865,,Blade Research Site,dallas,texas,75203,united states
NCT04334460,74842866,,Blade Research Site,spokane,washington,99204,united states
NCT04334460,74842867,,Blade Research Site,campinas,sao paulo,13034,brazil
NCT04334460,74842868,,Blade Research Site,bahia,,41810,brazil
NCT04334460,74842869,,Blade Research Site,belo horizonte,,30150,brazil
NCT04334460,74842870,,Blade Research Site,botucatu,,18618,brazil
NCT04334460,74842871,,Blade Research Site,porto velho,,76801,brazil
NCT04334460,74842872,,Blade Research Site,ribeirão preto,,65470,brazil
NCT04334460,74842873,,Blade Research Site,são josé do rio preto,,15090,brazil
NCT04334460,74842874,,Blade Research Site,vitória,,29041,brazil
NCT04334382,74842881,Recruiting,Intermountain Medical Center,murray,utah,84107,united states
NCT04334382,74842882,Not yet recruiting,University of Utah,salt lake city,utah,84112,united states
NCT04334291,74842974,,Hospital Lclinico San Carlos,madrid,,28040,spain
NCT04334265,74842977,Not yet recruiting,The Second People's Hospital of Fuyang,fuyang,anhui,230022,china
NCT04334265,74842978,Not yet recruiting,Ezhou Central Hospital,wuhan,hubei,430000,china
NCT04334265,74842979,Not yet recruiting,Huoshenshan Hospital of Wuhan,wuhan,hubei,430000,china
NCT04334265,74842980,Recruiting,Jinyintan Hospital of Wuhan,wuhan,hubei,430000,china
NCT04334265,74842981,Not yet recruiting,Tongji Hospital of Huazhong University of Science and Technology,wuhan,hubei,430000,china
NCT04334265,74842982,Not yet recruiting,West Hospital Union Hospital Huazhong University of Science and Technology,wuhan,hubei,430000,china
NCT04334265,74842983,Not yet recruiting,Wuhan Pulmonary Hospital,wuhan,hubei,430000,china
NCT04334265,74842984,Not yet recruiting,Zhongnan Hospital of Wuhan University,wuhan,hubei,430000,china
NCT04334265,74842985,Not yet recruiting,Wenzhou Medical University Affiliated First Hospital,wenzhou,zhejiang,325000,china
NCT04334252,74842996,,Jessa hospital,hasselt,,3500,belgium
NCT04334005,74843320,,Universidad de Granada,granada,andalucia,18071,spain
NCT04334005,74843321,,Medicine Faculty,granada,,18001,spain
NCT04333953,74843337,Recruiting,University of Missouri-Columbia,columbia,missouri,65212,united states
NCT04333914,74843341,Recruiting,Centre Léon Bérard,lyon,rhône,69373,france
NCT04333914,74843342,Suspended,CHU Clermont Ferrand,clermont ferrand,,690003,france
NCT04333914,74843343,Suspended,Centre Oscar Lambret,lille,,59020,france
NCT04333914,74843344,Recruiting,AP-HP Hôpital Saint Antoine,paris,,75012,france
NCT04333914,74843345,Recruiting,AP-HP La Pitié Salpétrière,paris,,75013,france
NCT04333914,74843346,Recruiting,Hôpital Saint-Joseph,paris,,75014,france
NCT04333914,74843347,Recruiting,AP-HP Tenon,paris,,75248,france
NCT04333914,74843348,Suspended,AP-HP Hôpital Bichat Claude Bernard,paris,,75877,france
NCT04333914,74843349,Recruiting,GH Diaconesses Croix Saint Simon,paris,,75960,france
NCT04333914,74843350,Recruiting,Institut Gustave Roussy,villejuif,,94805,france
NCT04333875,74843362,,"Department of Cardiology, Bern University Hospital",bern,,3010,switzerland
NCT04333862,74843363,Recruiting,Guido Beldi,bern,,,switzerland
NCT04333849,74843364,,Angers University Hospital,angers,,49933,france
NCT04368728,78280477,,Hospital Militar Central Cirujano Mayor Dr. Cosme Argerich,caba,,1426,argentina
NCT04327388,74846717,,Investigational Site Number 0320001,caba,,1430,argentina
NCT04327388,74846718,,Investigational Site Number 0320003,caba,,C1180AAX,argentina
NCT04327388,74846719,,Investigational Site Number 0320004,caba,,C1426AAM,argentina
NCT04323761,74848728,,Gold Coast Hospital,southport,,4215,australia
NCT04323761,74848724,,St. Vincent's Hospital Sydney,darlinghurst,new south wales,2010,australia
NCT04323761,74848725,,Royal Brisbane and Women's Hospital,herston,queensland,4029,australia
NCT04323761,74848726,,The Alfred Hospital,melbourne,victoria,3004,australia
NCT04323761,74848727,,The Royal Melbourne Hospital,parkville,victoria,3050,australia
NCT04323761,74848729,,Landeskrankenhaus Graz West,graz,,8020,austria
NCT04323761,74848730,,Universitätsklinik für Innere Medizin II,innsbruck,,06020,austria
NCT04323761,74848731,,Kepler Universitätsklinikum,linz,,A-4020,austria
NCT04323761,74848732,,Medical University and General Hospital Vienna,vienna,,,austria
NCT04323761,74848733,,Sozialmedizinisches Zentrum Süd - Kaiser-Franz-Josef-Spital,wien,,1100,austria
NCT04326920,74847184,,AZ Sint Jan Brugge,brugge,,8000,belgium
NCT04330638,74845091,,AZ Sint-Jan Brugge,brugge,,8000,belgium
NCT04323761,74848734,,Centre Hospitalier Universitaire Saint Pierre,brussels,,1000,belgium
NCT04330638,74845092,,University Hospital Saint-Pierre,brussels,,1000,belgium
NCT04330638,74845093,,Erasmus University Hospital,brussels,,1070,belgium
NCT04330638,74845094,,University Hospital Saint-Luc,brussels,,1200,belgium
NCT04333654,74843403,,Investigational Site Number 0561001,bruxelles,,BE-1200,belgium
NCT04330638,74845095,,University Hospital Antwerp,edegem,,2650,belgium
NCT04330638,74845096,,Ziekenhuis Oost-Limurg,genk,,3600,belgium
NCT04326920,74847185,,University Hospital Ghent,gent,,9000,belgium
NCT04330638,74845097,,AZ Sint-Lucas,gent,,9000,belgium
NCT04330638,74845098,,University Hospital Ghent,gent,,9000,belgium
NCT04323761,74848735,,Ghent University Hospital,ghent,,9000,belgium
NCT04323761,74848736,,Jessa Ziekenhuis,hasselt,,3500,belgium
NCT04330638,74845099,,Jessa ZH,hasselt,,3500,belgium
NCT04326920,74847186,,UZ Brussel,jette,,1090,belgium
NCT04330638,74845100,,University Hospital Brussels,jette,,1090,belgium
NCT04323761,74848737,,AZ Groeninge,kortrijk,,8500,belgium
NCT04330638,74845101,,CHU Tivoli,la louvière,,7100,belgium
NCT04323761,74848738,,Universitair Ziekenhuis Leuven,leuven,,3000,belgium
NCT04323761,74848739,,Centre Hospitalier Universitaire de Liège,liège,,4000,belgium
NCT04330638,74845102,,CHR de la Citadelle,liège,,4000,belgium
NCT04330638,74845103,,University Hospital Liège,liège,,4000,belgium
NCT04323761,74848740,,Hôpital Civil Marie Curie,lodelinsart,,,belgium
NCT04333654,74843404,,Investigational Site Number 0561002,lodelinsart,,6042,belgium
NCT04330638,74845104,,Cliniques Saint-Pierre Ottignies,ottignies-louvain-la-neuve,,1340,belgium
NCT04326920,74847187,,AZ Delta Roeselare,roeselare,,8800,belgium
NCT04330638,74845105,,AZ Delta,roeselare,,8800,belgium
NCT04327388,74846720,,Investigational Site Number 0760003,porto alegre,,90110-270,brazil
NCT04327388,74846721,,Investigational Site Number 0760001,sao paulo,,01327-001,brazil
NCT04327388,74846722,,Investigational Site Number 0760002,sao paulo,,04231-030,brazil
NCT04368728,78280479,,CEPIC - Centro Paulista de Investigacao Clinica e Servicos Medicos Ltda (Casa Branca),sao paulo,,04266-010,brazil
NCT04327388,74846723,,Investigational Site Number 0760004,são josé do rio preto,,15090-000,brazil
NCT04315987,74852363,,Hospital de Barueri,são paulo,,,brazil
NCT04315987,74852364,,IncCOR,são paulo,,,brazil
NCT04315987,74852365,,UNIFESP,são paulo,,,brazil
NCT04320472,74850736,,Universidade Federal de São Paulo,são paulo,,,brazil
NCT04321278,74850191,,A Beneficência Portuguesa de São Paulo - BP,são paulo,,,brazil
NCT04321278,74850192,,Associacao Beneficente Siria,são paulo,,,brazil
NCT04321278,74850193,,Hospital Vila Santa Catarina,são paulo,,,brazil
NCT04321278,74850194,,Real e Benemérita Associação Portuguesa de Beneficência/SP - 1,são paulo,,,brazil
NCT04321278,74850195,,Secretaria de Saúde do Estado de São Paulo,são paulo,,,brazil
NCT04321278,74850196,,"Serv Social da Industria do papel, papelão e cortiça do estado de SP",são paulo,,,brazil
NCT04321278,74850197,,Sociedade Beneficente de Senhoras Hospital Sírio-Libanês,são paulo,,,brazil
NCT04321278,74850198,,Universidade Federal de São Paulo,são paulo,,,brazil
NCT04327401,74846708,,Associacao Beneficente Siria,são paulo,,,brazil
NCT04327401,74846710,,Hospital Israelita Albert Einstein,são paulo,,,brazil
NCT04327401,74846709,,Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da USP - HCFMRP,são paulo,,,brazil
NCT04327401,74846711,,Prevent Senior Private Operadora de Saude Ltda,são paulo,,,brazil
NCT04327401,74846712,,Real e Benemérita Associação Portuguesa de Beneficência/SP,são paulo,,,brazil
NCT04327401,74846713,,Santa Casa de Misericórdia,são paulo,,,brazil
NCT04327401,74846714,,Secretaria de Saúde do Estado de São Paulo,são paulo,,,brazil
NCT04327401,74846715,,Sociedade Beneficente de Senhoras Hospital Sírio-Libanês,são paulo,,,brazil
NCT04327401,74846716,,Universidade Federal de São Paulo,são paulo,,,brazil
NCT04329572,74846018,,Prevent Senior Private Operadora de Saúde LTDA.,são paulo,,,brazil
NCT04327388,74846724,,Investigational Site Number 0760005,são paulo,,04321-120,brazil
NCT04321278,74850190,,Hospital Israelita Albert Einstein,são paulo,,05652-900,brazil
NCT04321278,74850141,,Hospital de Urgência e Emergência de Rio Branco,rio branco,ac,,brazil
NCT04323527,74848870,,Hospital e Pronto Socorro Delphina Rinaldi Abdel Aziz,manaus,amazonas,69093-415,brazil
NCT04322123,74849889,,Hospital Geral Clériston Andrade,feira de santana,ba,,brazil
NCT04321278,74850142,,Hospital e Clínica São Roque,ipiaú,ba,,brazil
NCT04321278,74850143,,Hospital da Cidade,salvador,ba,,brazil
NCT04322123,74849890,,Hospital Ana Nery - HAN/SESAB,salvador,ba,,brazil
NCT04368728,78280478,,Hospital Santo Antonio/ Associacao Obras Sociais Irma Dulce,salvador,ba,40415-006,brazil
NCT04322123,74849891,,HHospital SAMUR,vitória da conquista,ba,,brazil
NCT04322123,74849892,,Hospital Geral de Vitória da Conquista,vitória da conquista,ba,,brazil
NCT04327401,74846696,,Hospital Ana Nery,salvador,bahia,,brazil
NCT04321278,74850144,,Hospital Maternidade São Vicente de Paulo,barbalha,ce,,brazil
NCT04321278,74850145,,Hospital de Messejana Dr. Carlos Alberto Studart Gomes,fortaleza,ce,,brazil
NCT04321278,74850146,,Hospital Unimed Cariri,juazeiro do norte,ce,,brazil
NCT04321278,74850147,,Hospital Brasilia,brasilia,df,,brazil
NCT04322123,74849893,,Hospital de Brasília,brasilia,df,,brazil
NCT04322123,74849894,,Instituto de Cardiologia do Distrito Federal,brasília,df,,brazil
NCT04327401,74846697,,Instituto de Cardiologia do Distrito Federal,brasília,distrito federal,,brazil
NCT04322123,74849895,,Hospital Maternidade São José - UNESC - Fundação Social Rural de Colatina,colatina,es,,brazil
NCT04321278,74850148,,Hospital Estadual Jayme dos Santos Neves,serra,es,,brazil
NCT04321278,74850149,,Hospital Evangélico de Vila Velha,vila velha,es,,brazil
NCT04327401,74846698,,Fundação Social Rural de Colatina,colatina,esoírito santo,,brazil
NCT04321278,74850150,,Secretaria de Estado de Saúde de Goias,goiânia,go,,brazil
NCT04321278,74850151,,Santa Casa de Misericórdia de Belo Horizonte Santa Casa de BH,belo horizonte,mg,,brazil
NCT04322123,74849896,,Hospital Vila da Serra,nova lima,mg,,brazil
NCT04321278,74850152,,Hospital Santa Paula,passos,mg,,brazil
NCT04321278,74850153,,Santa Casa da Misericordia - UTI (São João Del Rey),são joão del rei,mg,,brazil
NCT04322123,74849897,,Santa Casa de Misericórdia de São João Del Rei,são joão del rei,mg,,brazil
NCT04327401,74846699,,Hospital Vera Cruz AS,belo horizonte,minas gerais,,brazil
NCT04321278,74850154,,Hospital Maternidade E Pronto Socorro Santa Lucia Ltda,poços de caldas,minas gerais,,brazil
NCT04327401,74846700,,Hospital Maternidade E Pronto Socorro Santa Lucia Ltda,poços de caldas,minas gerais,,brazil
NCT04321278,74850157,,Hospital Adventista de Belem,belem,pa,,brazil
NCT04321278,74850158,,Procape - Pronto S.Cardiologico de Pe.Prof.Luiz Tavares-,recife,pe,,brazil
NCT04321278,74850159,,Liga Paranaense de Combate ao Câncer,curitiba,pr,,brazil
NCT04322123,74849898,,Associação Evangélica Beneficente de Londrina - Hospital Evangélico de Londrina,londrina,pr,,brazil
NCT04321278,74850155,,Universidade Estadual de Londrina,londrina,paraná,,brazil
NCT04327401,74846701,,Universidade Estadual de Londrina,londrina,paraná,,brazil
NCT04321278,74850156,,Hospital Adventista de Belém,belém,pará,,brazil
NCT04321278,74850164,,Hospital São Lucas,rio de janeiro,rj,,brazil
NCT04322123,74849899,,Instituto Estadual do Cérebro Paulo Niemeyer,rio de janeiro,rj,,brazil
NCT04321278,74850163,,Hospital Naval Marcílio Dias,rio de janeiro,rj,,brazil
NCT04386616,78770652,,Instituto de Pesquisa Clinica Evandro Chagas FIOCRUZ,rio de janeiro,rj,21040-360,brazil
NCT04321278,74850165,,Hospital Maternidade PROMATER,natal,rn,,brazil
NCT04386616,78770653,,Centro De Estudos Pesquisas em Molestias Infecciosas - CPCLIN,natal,rn,59025-050,brazil
NCT04321278,74850166,,Associação Dr. Bartholomeu Tacchini,bento gonçalves,rs,,brazil
NCT04321278,74850167,,Hospital Geral de Caxias do Sul,caxias do sul,rs,,brazil
NCT04322123,74849900,,Hospital Geral de Caxias do Sul,caxias do sul,rs,,brazil
NCT04321278,74850168,,Hospital Bruno Born,lajeado,rs,,brazil
NCT04321278,74850169,,Hospital São Vicente de Paulo,passo fundo,rs,,brazil
NCT04322123,74849901,,Hospital Santa Rita - Irmandade Santa Casa de Porto Alegre,porto alegre,rs,,brazil
NCT04322123,74849902,,Hospital São Francisco - Irmandade Santa Casa de Porto Alegre,porto alegre,rs,,brazil
