nct_id,id,agency_class,lead_or_collaborator,name
NCT04386876,11101118,Industry,lead,World Medicine ILAC SAN. ve TIC. A.S.
NCT04407000,11098659,Industry,lead,World Medicine ILAC SAN. ve TIC. A.S.
NCT04425460,11096421,Industry,lead,Zhejiang Hisun Pharmaceutical Co. Ltd.
NCT04565392,11079519,Industry,lead,drpykessupplements.com
NCT04575532,11078316,Industry,lead,"physIQ, Inc."
NCT04370834,11103600,NIH,lead,National Cancer Institute (NCI)
NCT04280705,11116707,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04344977,11107380,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04358068,11105492,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04378777,11102433,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04383444,11101684,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04401436,11099258,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04401579,11099235,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04518410,11085111,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID)
NCT04348240,11106918,NIH,lead,National Institute of Dental and Craniofacial Research (NIDCR)
NCT04403386,11099048,NIH,lead,National Institute of Environmental Health Sciences (NIEHS)
NCT04490174,11088545,NIH,lead,National Institute of Environmental Health Sciences (NIEHS)
NCT04564287,11079647,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS)
NCT04360278,11105186,NIH,lead,National Institutes of Health Clinical Center (CC)
NCT04401449,11099257,NIH,lead,National Institutes of Health Clinical Center (CC)
NCT04424446,11096532,NIH,lead,National Institutes of Health Clinical Center (CC)
NCT04674410,11066210,NIH,lead,National Institutes of Health Clinical Center (CC)
NCT04698382,11063195,NIH,lead,National Institutes of Health Clinical Center (CC)
NCT04713111,11061378,Other,lead,4YouandMe
NCT04322188,11110701,Other,lead,A.O. Ospedale Papa Giovanni XXIII
NCT04346589,11107177,Other,lead,A.O. Ospedale Papa Giovanni XXIII
NCT04367792,11104085,Other,lead,A.O. Ospedale Papa Giovanni XXIII
NCT04716985,11060859,Other,lead,AGIR à Dom
NCT04595110,11075911,Other,lead,ANNA FALANGA
NCT04614012,11073560,Other,lead,ANNA FALANGA
NCT04413071,11097929,Other,lead,AORTICA Group
NCT04386239,11101210,Other,lead,ASST Fatebenefratelli Sacco
NCT04646655,11069568,Other,lead,ASST Fatebenefratelli Sacco
NCT04694742,11063679,Other,lead,ASST Fatebenefratelli Sacco
NCT04348448,11106882,Other,lead,AUSL Romagna Rimini
NCT04354779,11105984,Other,lead,AUVA
NCT04425031,11096463,Other,lead,Aalborg University Hospital
NCT04377425,11102615,Other,lead,Aarhus University Hospital
NCT04345549,11107312,Other,lead,Aarogyam UK
NCT04351542,11106432,Other,lead,Aarogyam UK
NCT04354753,11105990,Other,lead,Aarogyam UK
NCT04387643,11101001,Other,lead,Aarogyam UK
NCT04425044,11096459,Other,lead,Aarogyam UK
NCT04457388,11092567,Other,lead,Aarogyam UK
NCT04466605,11091463,Other,lead,Aarogyam UK
NCT04480398,11089786,Other,lead,Aarogyam UK
NCT04542876,11082255,Other,lead,Aarogyam UK
NCT04621903,11072554,Other,lead,Aarogyam UK
NCT04716647,11060915,Other,lead,Aarogyam UK
NCT04349228,11106763,Other,lead,Abderrahmane Mami Hospital
NCT04351919,11106367,Other,lead,Abderrahmane Mami Hospital
NCT04361032,11105078,Other,lead,Abderrahmane Mami Hospital
NCT04528927,11083938,Other,lead,Abderrahmane Mami Hospital
NCT04510662,11086087,Other,lead,Abraham Edgar Gracia-Ramos
NCT04473170,11090662,Other,lead,Abu Dhabi Stem Cells Center
NCT04665115,11067339,Other,lead,Academic and Community Cancer Research United
NCT04346342,11107208,Other,lead,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)
NCT04485338,11089171,Other,lead,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)
NCT04487769,11088853,Other,lead,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)
NCT04719182,11060550,Other,lead,Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)
NCT04393636,11100267,Other,lead,Academisch Ziekenhuis Maastricht
NCT04374422,11103032,Other,lead,Acibadem University
NCT04378738,11102439,Other,lead,Acibadem University
NCT04432987,11095536,Other,lead,Acibadem University
NCT04437940,11094973,Other,lead,Acibadem University
NCT04609722,11074105,Other,lead,Adiyaman University Research Hospital
NCT04374370,11103041,Other,lead,AdventHealth
NCT04540484,11082528,Other,lead,Advocate Health Care
NCT04281693,11116547,Other,lead,Affiliated Hospital to Academy of Military Medical Sciences
NCT04694014,11063838,Other,lead,African Wood Inc
NCT04646109,11069639,Other,lead,Afyonkarahisar Health Sciences University
NCT04341688,11107866,Other,lead,Aga Khan University
NCT04476888,11090203,Other,lead,Aga Khan University
NCT04482205,11089565,Other,lead,Aga Khan University
NCT04537338,11082917,Other,lead,Agencia Costarricense de Investigaciones Biomedicas
NCT04346043,11107249,Other,lead,Ain Shams University
NCT04346056,11107248,Other,lead,Ain Shams University
NCT04348214,11106920,Other,lead,Ain Shams University
NCT04348877,11106807,Other,lead,Ain Shams University
NCT04349241,11106761,Other,lead,Ain Shams University
NCT04350931,11106502,Other,lead,Ain Shams University
NCT04360122,11105204,Other,lead,Ain Shams University
NCT04376788,11102708,Other,lead,Ain Shams University
NCT04403581,11099031,Other,lead,Ain Shams University
NCT04445610,11094003,Other,lead,Ain Shams University
NCT04473157,11090663,Other,lead,Ain Shams University
NCT04524754,11084381,Other,lead,Ain Shams University
NCT04531111,11083690,Other,lead,Ain Shams University
NCT04536285,11083060,Other,lead,Ain Shams University
NCT04548492,11081603,Other,lead,Ain Shams University
NCT04584580,11077186,Other,lead,Ain Shams University
NCT04584606,11077184,Other,lead,Ain Shams University
NCT04603664,11074849,Other,lead,Ain Shams University
NCT04605692,11074602,Other,lead,Akdeniz University
NCT04342637,11107739,Other,lead,Al-Azhar University
NCT04385147,11101423,Other,lead,Al-Azhar University
NCT04422522,11096752,Other,lead,Al-Azhar University
NCT04381871,11101947,Other,lead,Al-Neelain University
NCT04470544,11090970,Other,lead,Alan Bryce
NCT04723602,11060017,Other,lead,Albert B. Sabin Vaccine Institute
NCT04406532,11098706,Other,lead,Albert Einstein College of Medicine
NCT04629157,11071669,Other,lead,Alder Hey Children's NHS Foundation Trust
NCT04364802,11104574,Other,lead,Alexandra Kejner
NCT04382469,11101854,Other,lead,Alexandria University
NCT04422678,11096735,Other,lead,Alexandria University
NCT04433039,11095531,Other,lead,Alexandria University
NCT04457349,11092570,Other,lead,Alexandria University
NCT04461340,11092093,Other,lead,Alexandria University
NCT04689464,11064353,Other,lead,Alhasan Mujtaba Al-Mudhaffer
NCT04393415,11100285,Other,lead,Aljazeera Hospital
NCT04423692,11096621,Other,lead,Aljazeera Hospital
NCT04427813,11096157,Other,lead,Aljazeera Hospital
NCT04441424,11094543,Other,lead,Alkarkh Health Directorate-Baghdad
NCT04591600,11076337,Other,lead,Alkarkh Health Directorate-Baghdad
NCT04394793,11100115,Other,lead,"All India Institute of Medical Sciences, New Delhi"
NCT04382391,11101865,Other,lead,Allegheny Singer Research Institute (also known as Allegheny Health Network Research Institute)
NCT04530422,11083770,Other,lead,Almaza Military Fever Hospital
NCT04536363,11083045,Other,lead,Alonso Vera Torres
NCT04451239,11093315,Other,lead,Ameera Gamal Abdelhameed
NCT04423770,11096610,Other,lead,American Dental Association
NCT04542915,11082251,Other,lead,American Dental Association
NCT04659135,11068072,Other,lead,American Society of Clinical Oncology
NCT04507867,11086451,Other,lead,Anahuac University
NCT04366245,11104398,Other,lead,Andalusian Network for Design and Translation of Advanced Therapies
NCT04366323,11104378,Other,lead,Andalusian Network for Design and Translation of Advanced Therapies
NCT04475601,11090352,Other,lead,Andreas Josefsson
NCT04515108,11085564,Other,lead,Ankara City Hospital Bilkent
NCT04643522,11069916,Other,lead,Ankara City Hospital Bilkent
NCT04698083,11063256,Other,lead,Ankara Education and Research Hospital
NCT04479319,11089918,Other,lead,Ankara University
NCT04696562,11063421,Other,lead,Ankara University
NCT04438954,11094863,Other,lead,Ankara Yildirim Beyazıt University
NCT04476745,11090214,Other,lead,Applied Science Private University
NCT04483271,11089447,Other,lead,Applied Science Private University
NCT04658433,11068143,Other,lead,Applied Science Private University
NCT04351529,11106433,Other,lead,Arbeitsgemeinschaft medikamentoese Tumortherapie
NCT04611269,11073907,Other,lead,Argentinian Intensive Care Society
NCT04521322,11084776,Other,lead,Ariel Dogliotti
NCT04407286,11098632,Other,lead,Arizona State University
NCT04307693,11112760,Other,lead,Asan Medical Center
NCT04711863,11061550,Other,lead,Asan Medical Center
NCT04403035,11099086,Other,lead,Ascension South East Michigan
NCT04411602,11098102,Other,lead,Ascension South East Michigan
NCT04402827,11099105,Other,lead,Asociacion para el Estudio de las Enfermedades Infecciosas
NCT04403061,11099083,Other,lead,Asociacion para el Estudio de las Enfermedades Infecciosas
NCT04526977,11084149,Other,lead,Asociacion para el Estudio de las Enfermedades Infecciosas
NCT04477954,11090076,Other,lead,Asociación Argentina de Medicina Hiperbárica e Investigación
NCT04398303,11099683,Other,lead,Aspire Health Science
NCT04647656,11069408,Other,lead,Assaf-Harofeh Medical Center
NCT04304690,11113206,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04324047,11110425,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04324073,11110423,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04325633,11110226,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04329195,11109738,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04331054,11109469,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04331808,11109308,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04333368,11109093,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04334850,11108869,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04335019,11108839,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04339881,11108128,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04341519,11107900,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04341870,11107847,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04343144,11107672,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04344379,11107457,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04344756,11107413,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04344782,11107410,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04344912,11107393,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04345991,11107254,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04346797,11107150,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04352348,11106298,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04354272,11106043,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355234,11105915,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355429,11105888,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355481,11105874,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355507,11105868,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355533,11105861,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04355611,11105852,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04356417,11105721,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04357444,11105589,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04357457,11105588,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04361604,11105015,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04362930,11104838,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04363749,11104722,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04364698,11104591,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04365725,11104467,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04366817,11104322,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04366856,11104319,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04371406,11103486,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04375670,11102854,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04377763,11102565,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04379466,11102312,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04381845,11101951,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04384549,11101511,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04386759,11101144,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04402892,11099099,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04405492,11098819,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04413864,11097824,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04413968,11097814,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04418375,11097255,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04420468,11097000,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04442087,11094462,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04463758,11091796,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04476979,11090184,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04516486,11085411,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04516512,11085407,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04516668,11085360,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04527198,11084127,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04541680,11082397,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04558437,11080361,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04558450,11080358,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04568707,11079141,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04578509,11077950,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04583761,11077310,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04584541,11077191,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04590170,11076509,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04590209,11076503,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04590222,11076502,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04590261,11076496,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04598594,11075501,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04608201,11074289,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04608214,11074287,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04608266,11074283,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04608383,11074263,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04618042,11073046,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04624997,11072151,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04625296,11072115,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04639427,11070402,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04639440,11070401,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04640610,11070263,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04654325,11068614,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04669938,11066752,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04677478,11065828,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04703114,11062624,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04704388,11062468,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04724395,11059911,Other,lead,Assistance Publique - Hôpitaux de Paris
NCT04337008,11108552,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04369820,11103754,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04369859,11103750,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04371367,11103495,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04371744,11103442,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04408131,11098528,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04420338,11097015,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04424056,11096574,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04432805,11095567,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04452630,11093141,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04632602,11071262,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04643691,11069901,Other,lead,Assistance Publique Hopitaux De Marseille
NCT04319315,11111185,Other,lead,Assiut University
NCT04336657,11108602,Other,lead,Assiut University
NCT04339322,11108219,Other,lead,Assiut University
NCT04344834,11107403,Other,lead,Assiut University
NCT04344938,11107390,Other,lead,Assiut University
NCT04347876,11106972,Other,lead,Assiut University
NCT04351568,11106430,Other,lead,Assiut University
NCT04357431,11105591,Other,lead,Assiut University
NCT04363229,11104804,Other,lead,Assiut University
NCT04383548,11101669,Other,lead,Assiut University
NCT04389320,11100766,Other,lead,Assiut University
NCT04395300,11100053,Other,lead,Assiut University
NCT04395885,11099976,Other,lead,Assiut University
NCT04409574,11098346,Other,lead,Assiut University
NCT04413045,11097933,Other,lead,Assiut University
NCT04433026,11095532,Other,lead,Assiut University
NCT04444310,11094151,Other,lead,Assiut University
NCT04445415,11094026,Other,lead,Assiut University
NCT04459390,11092308,Other,lead,Assiut University
NCT04462120,11092002,Other,lead,Assiut University
NCT04465058,11091659,Other,lead,Assiut University
NCT04470323,11090999,Other,lead,Assiut University
NCT04470414,11090991,Other,lead,Assiut University
NCT04470557,11090969,Other,lead,Assiut University
NCT04479280,11089923,Other,lead,Assiut University
NCT04479293,11089922,Other,lead,Assiut University
NCT04479345,11089916,Other,lead,Assiut University
NCT04479982,11089832,Other,lead,Assiut University
NCT04481360,11089658,Other,lead,Assiut University
NCT04488588,11088750,Other,lead,Assiut University
NCT04490772,11088479,Other,lead,Assiut University
NCT04492865,11088248,Other,lead,Assiut University
NCT04498936,11087516,Other,lead,Assiut University
NCT04507230,11086531,Other,lead,Assiut University
NCT04544150,11082097,Other,lead,Assiut University
NCT04554251,11080866,Other,lead,Assiut University
NCT04558749,11080312,Other,lead,Assiut University
NCT04561141,11080031,Other,lead,Assiut University
NCT04563442,11079748,Other,lead,Assiut University
NCT04565782,11079469,Other,lead,Assiut University
NCT04584411,11077206,Other,lead,Assiut University
NCT04595240,11075876,Other,lead,Assiut University
NCT04618796,11072961,Other,lead,Assiut University
NCT04628104,11071804,Other,lead,Assiut University
NCT04629001,11071701,Other,lead,Assiut University
NCT04646551,11069589,Other,lead,Assiut University
NCT04691609,11064120,Other,lead,Assiut University
NCT04694651,11063695,Other,lead,Assiut University
NCT04510402,11086130,Industry,collaborator,3M
NCT04379518,11102305,Industry,collaborator,AIM ImmunoTech Inc.
NCT04442048,11094471,Industry,collaborator,ATGen Canada Inc
NCT04330690,11109514,Industry,collaborator,AbbVie
NCT04372628,11103329,Industry,collaborator,AbbVie
NCT04327401,11109998,Industry,collaborator,Ache Laboratorios Farmaceuticos S.A.
NCT04494867,11088014,Industry,collaborator,"Advanced Cooling Therapy, Inc., d/b/a Attune Medical"
NCT04685603,11064867,Industry,collaborator,"Aivita Biomedical, Inc."
NCT04483830,11089381,Industry,collaborator,Alfasigma S.p.A.
NCT04500418,11087362,Industry,collaborator,Allergan
NCT04460651,11092174,Industry,collaborator,Amarin Pharma Inc.
NCT04548557,11081596,Industry,collaborator,Amson Vaccine and Pharma (Pvt) Limited
NCT04324489,11110368,Industry,collaborator,"Ansun Biopharma, Inc."
NCT04348695,11106842,Industry,collaborator,Apices Soluciones S.L.
NCT04366271,11104394,Industry,collaborator,Apices Soluciones S.L.
NCT04382066,11101905,Industry,collaborator,Apices Soluciones S.L.
NCT04330690,11109515,Industry,collaborator,Apotex Inc.
NCT04530500,11083761,Industry,collaborator,"Applied Biology, Inc."
NCT04261907,11119439,Industry,collaborator,"Ascletis Pharmaceuticals Co., Ltd."
NCT04291729,11115083,Industry,collaborator,"Ascletis Pharmaceuticals Co., Ltd."
NCT04345276,11107348,Industry,collaborator,"Ascletis Pharmaceuticals Co., Ltd."
NCT04475601,11090362,Industry,collaborator,Astellas Pharma Europe Ltd.
NCT04707703,11062057,Industry,collaborator,"Astellas Pharma Global Development, Inc."
NCT04350593,11108113,Industry,collaborator,AstraZeneca
NCT04497948,11087634,Industry,collaborator,AstraZeneca
NCT04686773,11064730,Industry,collaborator,AstraZeneca
NCT04709835,11061811,Industry,collaborator,"Atea Pharmaceuticals, Inc."
NCT04701528,11062819,Industry,collaborator,Aurinia Pharmaceuticals Inc.
NCT04685213,11064913,Industry,collaborator,"Avazzia, Inc"
NCT04572399,11078682,Industry,collaborator,"Aytu BioScience, Inc."
NCT04324463,11110371,Industry,collaborator,Bayer
NCT04644705,11069798,Industry,collaborator,Bayer
NCT04662684,11067645,Industry,collaborator,Bayer
NCT04334850,11108870,Industry,collaborator,BioMérieux
NCT04382092,11101901,Industry,collaborator,BioMérieux
NCT04392401,11100411,Industry,collaborator,BioMérieux
NCT04605926,11074566,Industry,collaborator,Biocon Limited
NCT04540185,11082564,Industry,collaborator,"Biomed Industries, Inc."
NCT04666116,11067223,Industry,collaborator,Biopolis S.L.
NCT04410328,11098255,Industry,collaborator,Boehringer Ingelheim
NCT04416100,11097567,Industry,collaborator,Boehringer Ingelheim
NCT04541680,11082398,Industry,collaborator,Boehringer Ingelheim
NCT04619680,11072858,Industry,collaborator,Boehringer Ingelheim
NCT04631666,11071402,Industry,collaborator,Boehringer Ingelheim
NCT04631705,11071384,Industry,collaborator,Boehringer Ingelheim
NCT04347226,11107094,Industry,collaborator,Bristol-Myers Squibb
NCT04405102,11098866,Industry,collaborator,Bristol-Myers Squibb
NCT04477642,11090113,Industry,collaborator,Bristol-Myers Squibb
NCT04535128,11083198,Industry,collaborator,Bristol-Myers Squibb
NCT04545749,11081917,Industry,collaborator,COVAXX
NCT04381052,11102085,Industry,collaborator,CSL Behring
