Treatment,nct_id,ID,COVID-19 status,Patient setting,Outcome,Size
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"Remdesivir + Costimulation blocker, Remdesivir + mAb, Remdesivir + Other",NCT04593940,NCT04593940,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO",2160
"DAA, Standard of care",NCT04668235,NCT04668235,Confirmed,Hospital,"Mortality, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Other Mild Symptoms, Serious Adverse Events, IL-6, Erythrocyte Sedimentation Rate, Procalcitonin, ALT, AST, IgG, IgM or IgA, Respiratory Rate, Radiographic Findings, Renal Outcome (Unspecified)",342
Igs,NCT04610502,NCT04610502,Confirmed,Hospital,"Mortality, Hospitalization, Viral Load or Clearance, Adverse Events, IgG, IgM or IgA, Radiographic Findings",26
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Other, Standard of care",NCT04516759,NCT04516759,Confirmed Or Suspected,Hospital,"Mortality, Clinical Improvement Score (Any), Serious Adverse Events",150
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583969,NCT04583969,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin, LDH",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"Remdesivir, Remdesivir + mAb",NCT04583956,NCT04583956,Confirmed,Hospital,"Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, Ferritin, Platelet Count, Hemoglobin, D-Dimer, Troponin, Fibrinogen, INR, ALT, AST, Bilirubin",200
"FPV, Standard of care",NCT04600895,NCT04600895,Confirmed,Outpatient,"Mortality, Hospitalization, Viral Load or Clearance, IgG, IgM or IgA, Distress",826
