nct_id,id,intervention_type,name,description
NCT04710303,12911991,Biological,had5-s-fusion+n-etsd vaccine,"the had5-s-fusion+n-etsd vaccine is a had5 [e1-, e2b-, e3-] vector-based targeting vaccine encoding the sars-cov-2 s and n proteins. the had5-s-fusion+n-etsd vaccine is designed to induce both humoral and cellular responses even in individuals with pre-existing adenoviral immunity."
NCT04707664,12912001,Drug,sargramostim,all patients randomized to the sargramostim treatment arm will be treated with 250 mcg inhaled sargramostim administered via a vibrating mesh nebulizer once daily for 5 days.
NCT04707664,12912002,Drug,placebo,all patients in the control arm will receive an equivalent volume of inhaled placebo diluent administered via a vibrating mesh nebulizer once daily for 5 days.
NCT04702178,12912017,Biological,covac-2,intramuscular vaccine against sars-cov-2
NCT04702178,12912018,Biological,placebo,intramuscular injection of saline placebo
NCT04696679,12912037,Other,patient quality of life assessment,other: patient questionnaire about quality of life assessment and their determinants during the confinement-deconfinement period of covid-19 pandemic in france
NCT04696679,12912038,Other,control group quality of life assessment,"other: patient questionnaire about quality of life assessment and their determinants during the confinement-deconfinement period of covid-19 pandemic in france relationships with teachers, schoolwork, and self-esteem)"
NCT04695301,12912039,Other,rehabilitation protocol through a digital platform,during 3 months the patients will participate in a rehabilitation program through a digital platform
NCT04647682,12912147,Other,physical activity program,"30 second chair test,~balance with joint-feet and semi-tandem stance~4 meters comfortable walking test were evaluated"
NCT04640233,12912170,Biological,gam-covid-vac,vaccine for intramuscular injection
NCT04640233,12912171,Other,placebo,placebo comparator
NCT04625725,12912213,Drug,azd7442,single dose (× 2im injections) of either 300 mg of azd7442 or saline placebo on day 1.
NCT04625725,12912214,Drug,placebo,single dose (× 2im injections) of either 300 mg of azd7442 or saline placebo on day 1.
NCT04584450,12912336,Other,questionnaire,data collection using questionnaire
NCT04590352,12912315,Procedure,nasopharyngeal and throat swab,diagnostic specimens via nasopharyngeal swab and throat swab were collected following the current standard operating procedures.
NCT04590352,12912316,Procedure,collection of mucosal lining fluid,"mlf will be collected via nasal absorption at the inclusion visit by study staff and four more time points by the parents or by the children themselves. nasal absorption is performed by maneuvering a strip of synthetic absorptive matrices (sam) into the lumen of the nostril, avoiding rubbing against the nasal mucosa. the outside of the nose is then pressed with a finger to cause apposition of the sam against the mucosa."
NCT04590352,12912317,Procedure,blood collection via fingerprick,"participants will be asked to wash their hands with soap and warm water. the procedure involves cleaning the ball of the fingertip with an alcohol swab, then using a sterile disposable lancet to pierce the skin (bd microtainer lancet or similar). the lancet is placed in a spring-loaded device, which propels the lancet a fixed distance (a few mm) into the skin when the trigger is pressed. approximately 10-20 drops of blood (0.3 ml) will then be collected with a sterile capillary tube. the participant is given a cotton wool pad to mop up any extra blood, and an elastoplast-type bandage is placed over the finger if necessary. fingerprick blood samples will only be collected from participants older than 6 months at 28-32 days after the first home visit (d0). lancet length will be adjusted for age (2.0 mm for participants 8 years and older, 1.5 mm for participants older than 6 months and younger than 8 years)."
NCT04583592,12912343,Drug,camostat mesilate,camostat mesilate administered as oral 100 mg round tablets. study dose: two 100 mg tablets (200 mg total) taken orally 4 times daily for 14 days.
NCT04583592,12912344,Drug,placebo,placebo administered as oral round tablets. study dose: two placebo tablets taken orally 4 times daily for 14 days.
NCT04582331,12912349,Other,smartphone-based voice and self-reported symptom collection,voice samples and covid-19 symptom inventories will be collected on participant smartphone devices. no outcomes or feedback is provided on acquired data during trial conduct but will be used for confirmatory data analysis post study
NCT04575038,12912377,Drug,brequinar,dihydroorotate dehydrogenase inhibitor (dhodhi)
NCT04575038,12912378,Drug,placebo,placebo capsules
NCT04557046,12912414,Diagnostic Test,nasal spray,collection of one more nasal swabs
NCT04557046,12912415,Diagnostic Test,nasopharyngeal swab,collection of one more nasopharyngeal swabs
NCT04557046,12912416,Diagnostic Test,throat swab,collection of one more throat swabs
NCT04557046,12912417,Diagnostic Test,fingerstick,collection of capillary blood from one or more fingersticks
NCT04557046,12912418,Diagnostic Test,saliva specimen,collection of free drool
NCT04545060,12912455,Biological,vir-7831,vir-7831 given by intravenous infusion
NCT04545060,12912456,Drug,placebo,sterile normal saline (0.9% nacl) given by intravenous infusion
NCT04464395,12912596,Drug,cpi-006,"participants will receive a single dose of cpi-006 at one of four dose levels (0.3 mg/kg, 1.0 mg/kg, 3.0 mg/kg, or 5.0 mg/kg) along with standard of care."
NCT04464395,12912597,Other,standard treatment for covid-19,participants will receive standard of care treatment only.
NCT04459962,12912601,Diagnostic Test,breath test & cheek swab,breath sample and cheek swab of participants will be used for machine learning (nbt - nanobiotechnology biomarkers tagging) system to develop a profile which can be used later on for covid-19 diagnosis.
NCT04448756,12912631,Drug,m5049,participants will take m5049 100 milligram (mg) orally each day for 14 days.
NCT04448756,12912632,Drug,m5049,participants will take m5049 200 mg orally each day for 14 days.
NCT04448756,12912633,Drug,placebo,participants will take placebo tablets matched to m5049 daily for 14 days.
NCT04441476,12912657,Other,questionnaire,"an online questionnaire (limesurvey platform) will be made available at 4 different times (m0, m1, m2 and m6).~the first questionnaires (m0 and m1) will include a component for professional characterization. generic and specific stress factors related to icu and the current pandemic and collective and individual defensive strategies will also be collected in m0 and m1.~at m2 and m6, the traumatic impact of the crisis, burnout, signs of depression and recourse to internal or external support in the department (occupational medicine, support unit) will be collected."
NCT04441476,12912658,Other,psychological and sociological interviews,"conducting semi-directive psychological interviews (40 interviews in m2, 40 interviews in m6).~sociological interviews: 40 (20 in m1-m2 then 20 in m6) in order to understand the consequences of the epidemic on daily life, both intra-family and micro-social."
NCT04414618,12912708,Drug,opaganib,"study participants will receive either opaganib 2 x 250 mg capsules (500 mg) every 12 hours, in addition to standard of care (pharmacological and/or supportive)."
NCT04414618,12912709,Drug,placebo,"study participants will receive placebo 2 x 250 mg capsules (500 mg) every 12 hours, in addition to standard of care (pharmacological and/or supportive)."
NCT04412668,12912710,Drug,atyr1923 1 mg/kg,1 mg/kg of atyr1923 administered intravenously
NCT04412668,12912711,Drug,atyr1923 1 mg/kg,3 mg/kg of atyr1923 administered intravenously
NCT04412668,12912712,Drug,placebo,placebo administered intravenously
NCT04401410,12912724,Biological,dose finding phase (mtd),"enrollment to the dose escalation phase will be staggered. the first patient enrolled on each of the 3 dose levels (dl1, dl2 and dl3) will have to complete the 14-day toxicity monitoring window prior to enrollment of the next patients. prior to dose escalation, all patients at a particular dose level should have completed the minimum 14-day toxicity monitoring window before enrolling to a higher dose level."
NCT04401410,12912725,Biological,partially hla-matched sars-covsts,infusion of sars-covsts at the mtd level as determined in the dose finding phase
NCT04401410,12912726,Other,routine care (no sars-covsts),patients receive routine care for covid19 per institutional standards (including antivirals such as remdesivir or other fda-eua approved products and thromboprophylaxis).
NCT04362085,12912784,Drug,therapeutic anticoagulation,"the choice of low molecular weight heparin (lmwh) versus unfractionated heparin (ufh) will be at the clinician's discretion. lmwh options include: tinzaparin, enoxaparin or dalteparin. ufh will be administered using a weight-based nomogram with titration according to center-specific institutional protocol."
NCT04345601,12912810,Biological,mesenchymal stromal cells,patients will be given the cell product by intravenous injection (into the vein through an iv line). dose:1 x 10^8 mscs.
NCT04345601,12912811,Other,supportive care,patients will receive supportive care per their treating physician
NCT04290780,12912895,Other,nosocomial infection/hospital acquired infection,"when there is suspicion of a community-acquired case (admission of an infected patient) or nosocomial case (infection of a patient already hospitalized), a case report form including demographic data, medical history, and clinical and biological data on the infectious episode will be completed for each case, either patient, caregivers or health care professionals, presenting clinical signs or symptoms compatible with sars-cov-2 infection. the suspected cases will undergo nasopharyngeal swab collection and detection of sars-cov-2 in nasopharyngeal swabs will be done by real-time rt-pcr assay.~hygiene measures applied by the service will be collected using a questionnaire as well as recommendations of the learned societies within the country regarding the risk of infection by coronavirus. in addition, data characterizing the service and hospital will also be collected (specialty, number of beds, number of nurses, doctors, etc.)."
NCT04731051,12927576,Drug,hcq01,"hcq01 is a sterile, clear and colorless, ready-to-use aqueous nebulizer solution. hydroxychloroquine sulfate administered via nebulization"
NCT04731051,12927577,Drug,standard treatment for covid-19,standard of care (soc) for covid-19
NCT04730934,12927578,Other,pss (perceived stress scale),"perceived stress scale (pss) : the pss is a validated 10-item self-report questionnaire which asks individuals to indicate how often they have found their lives unpredictable, uncontrollable, and overloaded in the last month. the higher scores indicating greater perceived stress."
NCT04730934,12927579,Other,fibromyalgia impact questionnaire,"fibromyalgia impact questionnaire (fiq): the fiq is composed of 10 items. the first item contains 11 questions related to physical functioning - each question is rated on a 4 point likert type scale. items 2 and 3 ask the patient to mark the number of days they felt well and the number of days they were unable to work (including housework) because of fibromyalgia symptoms. items 4 through 10 are horizontal linear scales marked in 10 increments on which the patient rates work difficulty, pain, fatigue, morning tiredness, stiffness, anxiety and depression."
NCT04730934,12927580,Other,"the drugs used before and during the pandemic, the patient's job status, physical activity conditions, pain status","drug using: antidepressant, snri, gabapentin, ssri, myorelaxan, nsaid, paracetamol, pregabalin, tramadol, food supplement.~job status: participants were questioned about their occupational status before and during the pandemic as i am a housewife, i quit my job, i worked from home, i worked part-time and there was no change in my job.~physical activity: i do not have physical activity, i do my daily work at home, i do daily walks, i exercise regularly.~pain status: participants were questioned that their pain conditions before and during the pandemic were much worse, worse, a little bad, no change, a little good,  better, it was questioned as much better."
NCT04729140,12927632,Drug,ivermectin tablets,"double-blinded, prospective, placebo controlled outpatient randomized clinical trial."
NCT04729140,12927633,Drug,doxycycline tablets,"double-blinded, prospective, placebo controlled outpatient randomized clinical trial."
NCT04729140,12927634,Drug,placebo,"double-blinded, prospective, placebo controlled outpatient randomized clinical trial."
NCT04728698,12927646,Drug,covi-vac,"1 x 10^6 mscs/kg or 1.5 x 10^6 mscs/kg, depending on crp level"
NCT04728698,12927647,Drug,placebo,equivalent volume of placebo will be administered
NCT04728594,12927648,Behavioral,social proof,email
NCT04728594,12927649,Behavioral,reframing,email
NCT04728594,12927650,Behavioral,scarcity message,email
NCT04726163,12927694,Device,continuous blind glucose measurement device (free style pro),a continuous blind glucose measurement device (free style pro) will be set up on the first day and throughout the entire hospital stay
NCT04723706,12927704,Diagnostic Test,covid-19 serology,"patients with sct or cart who decide to get their vaccines we will measure response by therapy by measuring covid-19 serology igg at the following schedule: baseline +5 days after vaccination; 1 month +/- 10 days (after the first dose), 2 months +/- 10 days (after the 2nd dose), 3 months +/- 10 days, 6 months +/- 10 days and 12 months +/- 10 days"
NCT04723290,12927709,Diagnostic Test,serological tests for sars cov-2,each participant will have a blood test on a dry tube of maximum 8 ml of whole blood
NCT04721535,12927737,Drug,dwj1248,"orally, 1 tablet of dwj1248 tid, up to 14 days"
NCT04721535,12927738,Drug,placebo,"orally, 1 tablet of placebo tid, up to 14 days"
NCT04717089,12927766,Other,overnight intensive recovery / extended recovery,"from january 2020, during covid-19 first panademics in hong kong, a bundle of interim measures were implemented with the joint efforts of the department of anaesthesia and operating theatre services (a&ot) and intensive care unit (icu), and two ordinary recovery beds were converted into extended recovery (exrr), based on the concept of overnight intensive recovery (oir) to provide level 2 intensive care to patients undergoing major or ultra-major operations or having multiple comorbidities warranted intensive care in the immediately postoperative periods. this was conducted over 3 panademics wave in hong kong."
NCT04716426,12927771,Drug,tetracycline hydrochloride 3%,proprietary formulation composed of fda approved inactive ingredients and the active pharmaceutical ingredient tetracycline hydrochloride.
NCT04716426,12927772,Drug,placebo,formulation composed of fda approved inactive ingredients.
NCT04715763,12927779,Drug,telmisartan oral product,angiotensin receptor blocker (arb) fda approved for use in hypertension and for cardiovascular risk reduction
NCT04715763,12927780,Drug,placebo,gelatin capsules filled with an inactive ingredient
NCT04713488,12927790,Biological,sputnik light,solution for intramuscular injection composition for 1 dose (0.5 ml)
NCT04700462,12927864,Behavioral,sm-ema,self-monitoring ecological momentary assessment behavior change tool to promote adherence to a desired behavior (i.e. covid-19 preventative behaviors).
NCT04688372,12927928,Other,surge index,see study description above
NCT04681430,12927961,Biological,convalescent plasma,transfusion of convalescent plasma (cp) with neutralizing antibodies against anti-sars-cov-2 ((titer of at least 1:160)
NCT04681430,12927962,Drug,camostat mesilate,"tablets over 7 days, daily dose of 600 mg split into 3 doses"
NCT04681430,12927963,Drug,placebo,"placebo tablets over 7 days, split into 3 doses"
NCT04681430,12927964,Other,standard treatment for covid-19,control arm for convalescent plasma (cp)
NCT04674644,12928023,Behavioral,the psychosocial effects of covid-19 pandemic on dental professionals,analysing the psychosocial effects of covid-19 pandemic on dental professionals using the turkish version of the fear of covid-19 and coronavirus anxiety scales
NCT04671017,12928041,Biological,vla2001,whole virus inactivated sars-cov-2 vaccine adjuvanted with cytosine phosphor-guanine (cpg) 1018 in combination with aluminium hydroxide
NCT04669912,12928044,Other,glucose control and sensor usage,data related to glucose control and sensor usage collected from the libreview platform
NCT04661657,12928083,Other,transthoracic echocardiogram (tte),subjects will undergo tte imaging.
NCT04661657,12928084,Other,cardiovascular magnetic resonance (cmr) imaging,subjects will undergo cmr imaging using a gadolinium based contrast agent (gbca).
NCT04646603,12928182,Drug,mrg-001,subjects will receive subcutaneous mrg-001 injections.
NCT04646603,12928183,Drug,placebo,subjects will receive subcutaneous placebo injections.
NCT04646239,12928185,Diagnostic Test,heterologous stimuli,in vitro exposure of peripheral blood mononuclear cells to heterologous stimuli
NCT04639375,12928223,Biological,vaccinated with polio vaccine (ipv),poliovirus vaccine (ipv) manufactured by sanofi pasteur for distribution in the united states
NCT04635605,12928230,Drug,methylene blue,"treatment group. methylene blue 100 mg capsules, twice a day for 5 consecutive days, will be added to the current therapy of the patient, if any."
NCT04635605,12928231,Drug,control test,"arm b: control group. placebo capsules 100 mg twice a day for 5 consecutive days, will be added to the current therapy of the patient, if any."
NCT04627675,12928272,Drug,covx,dna-encodable coronaviral vaccine
NCT04627675,12928273,Drug,il-12 plasmid,cytokine
NCT04627675,12928274,Device,cliniporator,electroporation system
NCT04623021,12928300,Drug,camostat mesilate,administered intravenously as a continuous infusion
NCT04610138,12928372,Drug,cnm-znag,znag liquid solution
NCT04610138,12928373,Drug,placebo,water
NCT04604704,12928416,Drug,naltrexone,naltrexone at 4.5 mg/day
NCT04604704,12928417,Dietary Supplement,nad+,"nad+ will be applied using iontophoresis patches. the patches will be provided by ready-made nad+ solutions (400 mg) to be applied to the positive electrode of the patch and saline to the negative electrode. the patch is powered by a self-contained battery, producing an electric current to facilitate nad+ absorption through the skin into the blood. patches are worn for 4-6 hours once a week."
NCT04604704,12928418,Other,placebo,placebo tablet and patch
NCT04588792,12928485,Drug,nebulized furosemide,furosemide administered by nebulization through the ventilator circuit
NCT04588792,12928486,Drug,saline,saline administered by nebulization through the ventilator circuit
NCT04565249,12928643,Drug,pln-74809,pln-74809
NCT04565249,12928644,Drug,placebo,placebo
NCT04548934,12928733,Device,personal protective equipment,"wearing of ppe (ffp3 mask, gloves, eye protection, long-sleeved gown)"
NCT04548934,12928734,Device,personal protective equipment,standard cpr without wearing ppe
NCT04528667,12928871,Drug,sti-5656,sti-5656 (abivertinib maleate) is a third-generation egfr tyrosine kinase inhibitor and btk inhibitor.
NCT04528667,12928872,Drug,placebo,placebo capsules
NCT04528368,12928876,Biological,convalescent plasma,the intervention group will receive 400 ml of convalescent plasma with a sars-cov-2 antispike antibody titer with a dilution ≥ 1: 320.
NCT04519411,12928912,Diagnostic Test,transpulmonary pressure measurements,transpulmonary pressure measurements
NCT04498442,12928999,Behavioral,simha kriya,"simha-kriya involves deep breathing exercises and meditation. it is the practice of extending the breath, expanding our lung capacity and mental concentration and energizing the body. simha kriya, when practiced intentionally will unite the mental, physical, and spiritual body through the breath. for the purpose of this study we advocate practice of simha kriya at least once a day."
NCT04498442,12929000,Behavioral,reading a book,"reading a book regularly promotes knowledge enhancement, reduces stress and enhances memory among other benefits. reading a book is often inculcated into mindfulness research due to it's impact on the personality and attitude. the simple act of reading a book can have a significant impact on their attitudes and can help them cope better with stress. for the purpose of this study, we advocate reading any book/ journal of participants choice routinely for 15 minutes each day. reading a book could potentially be substituted with sitting idle for 15 minutes if participants wishes to."
NCT04488575,12929037,Drug,edp1815,edp1815 is an orally administered monoclonal microbe
NCT04488575,12929038,Drug,placebo,placebo oral capsule
NCT04486001,12929067,Biological,psc-04,adipose stem cells derived from screened donor lipoaspirate and culture expanded.
NCT04474457,12929102,Drug,favipiravir,turkish patient cohort diagnosed with covid-19 and previously initiated treatment with favipiravir.
NCT04469114,12929118,Drug,tofacitinib 10 mg,tofacitinib 10mg administered orally twice daily for 14 days or until hospital discharge
NCT04469114,12929119,Drug,placebo,tofacitinib-matching placebo administered orally twice daily for 14 days or until hospital discharge
NCT04459286,12929169,Drug,nitazoxanide and atazanavir/ritonavir,1000 mg nitazoxanide tablets twice daily and 300/100 mg atazanavir/ritonavir tablets once daily with meal
NCT04459286,12929170,Other,standard treatment for covid-19,soc will be as determined by the clinical team at the treatment centres in line with the current national interim guidelines for clinical management of covid-19
NCT04452669,12929196,Drug,ventaprost (inhaled epoprostenol delivered via a dedicated delivery system),ventaprost delivered for up to 10 days via mechanical ventilation at a dose range that may be up or down titrated to a patient's clinical condition.
NCT04452097,12929201,Biological,human umbilical cord mesenchymal stem cells + best supportive care,huc-msc product will be administered intravenously in addition to the standard of care treatment.
NCT04452097,12929202,Other,soc + placebo,placebo control will be administered intravenously in addition to the standard of care treatment.
NCT04435379,12929281,Biological,vpm1002,"the investigational product will be administered via intradermal injection with a 1.0-ml syringe, sub-graduated into hundredths of ml (1/100 ml), and fitted with a short bevel needle (25g/0.50 mm or 26g/0.45 mm, 10 mm in length)."
NCT04435379,12929282,Biological,placebo,"the investigational product will be administered via intradermal injection with a 1.0-ml syringe, sub-graduated into hundredths of ml (1/100 ml), and fitted with a short bevel needle (25g/0.50 mm or 26g/0.45 mm, 10 mm in length)."
NCT04434118,12929285,Drug,traditional antirheumatic drugs,"hydroxychloroqine, methotrexate, glucocorticoids, leflunomide, and sulphasalazine"
NCT04431284,12929299,Other,questionnaire,"the two groups (23 patients per group) will be contacted by phone or e-mail to participate to the cio study. once their agreement received, each patient will be asked to complete the same set of online questionnaires : weight, had (hospital anxiety and depression scale), bes (binge eating scale), yfas (yale food addiction scale), debq (dutch eating behavior questionnaire), ipaq (international physical activity questionnaire), covid 19 questionnaire penn state, items from the do-it questionnaire, general questions on the lifestyle during the lockdown (custom questionnaire), covid stress evaluation (custom questionnaire)"
NCT04430049,12929309,Procedure,covid icu containment measures,the french containment measures during covid-19 pandemic result in a restrictive visitation for relatives in icu
NCT04420364,12929348,Other,maintenance or reduction of immunosuppression,maintenance versus reduction of immunosuppression
NCT04411433,12929369,Drug,favipiravir,"dosage and method of administration: in a regimen of 2x1600 mg (oral) loading dose on day-1 followed by 1200 mg maintenance dose (2x600 mg, 2 times daily) on day-2 to day-5 (5 days in total).~the treatment duration may be extended up to 14 days with the evaluation of principle investigator."
NCT04411433,12929370,Drug,favipiravir,"drug: favipiravir (3600 mg + 1600 mg) dosage and method of administration: in a regimen of 2x1800 mg (oral) loading dose on day-1 followed by 1600 mg maintenance dose (2x800 mg, 2 times daily) on day-2 to day-5 (5 days in total).~the treatment duration may be extended up to 14 days with the evaluation of principle investigator."
NCT04411433,12929371,Drug,favipiravir (3200 mg + 1200 mg) combined with hydroxychloroquine,"hydroxychloroquine dosage and method of administration: in a regimen of 2x400 mg (oral) loading dose on day-1 followed by 400 mg maintenance dose (2x200 mg oral, 2 times daily) on day-2 to day-5 (5 days in total).~favipiravir dosage and method of administration: in a regimen of 2x1600 mg (oral) loading dose on day-1 followed by 1200 mg maintenance dose (2x600 mg, 2 times daily) on day-2 to day-5 (5 days in total). the treatment duration may be extended up to 14 days with the evaluation of principle investigator."
NCT04411433,12929372,Drug,favipiravir (3200 mg + 1200 mg) combined with azithromycin,"azithromycin dosage and method of administration: in a regimen of 1x500 mg (oral) loading dose on day-1 followed by 250 mg maintenance dose (oral daily) on day-2 to day-5 (5 days in total).~favipiravir favipiravir dosage and method of administration: in a regimen of 2x1600 mg (oral) loading dose on day-1 followed by 1200 mg maintenance dose (2x600 mg, 2 times daily) on day-2 to day-5 (5 days in total). the treatment duration may be extended up to 14 days with the evaluation of principle investigator."
NCT04411433,12929373,Drug,hydroxychloroquine,"dosage and method of administration for patients with mild possible or confirmed covid-19 pneumonia (no severe pneumonia symptoms): in a regimen of 2x400 mg (oral) loading dose on day-1 followed by 400 mg maintenance dose (200 mg oral 2 times daily) on day-2 to day-5 (5 days in total).~dosage and method of administration for patients with uncomplicated possible or confirmed covid-19: in a regimen of 400 mg (200 mg oral 2 times daily) throughout 5 days (5 days in total)."
NCT04374279,13003569,Drug,bicalutamide 150 mg oral tablet,bicalutamide 150 mg by mouth daily for 7 days
NCT04363827,13003601,Drug,hydroxychloroquine,hydroxychloroquine
NCT04362813,13003602,Drug,clazakizumab,"canakinumab 450 mg for body weight 40-<60 kg, 600 mg for 60-80 kg or 750 mg for >80 kg in 250 ml of 5% dextrose infused iv over 2 hours. single dose on day 1."
NCT04362813,13003603,Drug,placebo,250 ml of 5% dextrose infused iv over 2 hours. single dose on day 1.
NCT04357808,13003618,Drug,sarilumab,single dose treatment with sarilumab 2 x 200 mg subcutaneously
NCT04357808,13003619,Other,standard treatment for covid-19,usual clinical care
NCT04352959,13003624,Device,mouthrinse with bêta-cyclodextrin and citrox,3 daily mouthrinses for 7 days
NCT04352959,13003625,Device,mouthrinse with bêta-cyclodextrin and citrox,3 daily mouthrinses for 7 days
NCT04336332,13003662,Combination Product,hydroxychloroquine + azithromycin,given po
NCT04336332,13003663,Drug,hydroxychloroquine,given po
NCT04331600,13003676,Drug,chloroquine phosphate,oral chloroquine phosphate for 14 days
NCT04331600,13003677,Other,telemedicine,telemedical supervision for 42 days
NCT04317040,13003693,Drug,cd24fc,cd24fc is given on day 1.
NCT04317040,13003694,Drug,placebo,placebo is given on day 1.
NCT04296643,13003751,Device,medical music,medical mask (known also as surgical mask)
NCT04296643,13003752,Device,n-95 respirator,n95 respirator
NCT04723394,13017989,Drug,azd7442,single dose (× 2 separate im injections) of 600 mg of azd7442 or saline placebo on day 1.
NCT04723394,13017990,Drug,placebo,single dose (× 2 separate im injections) of 600 mg of azd7442 or saline placebo on day 1.
NCT04710329,13018037,Drug,ascorbic acid,the daily administration of 6 grams of vitamin c intravenously in 4 equal doses every 6 hours occurred and the treatment lasted 96 hours. vials containing 1.5 gr vitamin c were placed in 100 cc 5% dextrose and infused intravenously in 30-60 minutes. prepared serum bottles and sets are wrapped with aluminum foil in order to protect them from sunlight.
NCT04703140,13018072,Diagnostic Test,rapid diagnostic test vs pcr,2 nasopharyngeal swabs taken for pcr and covidisc
NCT04649021,13018264,Biological,bnt162b2,intramuscular injection
NCT04649021,13018265,Other,placebo,intramuscular injection
NCT04640168,13018292,Drug,baricitinib,"baricitinib is a janus kinase (jak) inhibitor with the chemical name [1-(ethylsulfonyl)-3-(4-(7hpyrrolo(2,3-d)pyrimidin-4-yl)-1h-pyrazol-1-yl)azetidin-3-yl]acetonitrile. each tablet contains 2 mg of baricitinib and the following inactive ingredients: croscarmellose sodium, magnesium stearate, mannitol, microcrystalline cellulose, ferric oxide, lecithin (soya), polyethylene glycol, polyvinyl alcohol, talc and titanium dioxide."
NCT04640168,13018293,Drug,dexamethasone,"dexamethasone sodium phosphate injection, usp, is an adrenocortical steroid anti-inflammatory drug. it is a water-soluble inorganic ester of dexamethasone. each ml contains dexamethasone sodium phosphate equivalent to dexamethasone phosphate 4 mg or dexamethasone 3.33 mg; benzyl alcohol 10 mg added as preservative; sodium citrate dihydrate 11 mg; sodium sulfite 1 mg as an antioxidant."
NCT04640168,13018294,Other,placebo,placebo matching oral baricitinib or intravenous dexamethasone.
NCT04640168,13018295,Drug,remdesivir,"drug remdesivir is a single diastereomer monophosphoramidate prodrug designed for the intracellular delivery of a modified adenine nucleoside analog gs-441524. in addition to the active ingredient, the lyophilized formulation of remdesivir contains the following inactive ingredients: water for injection, sulfobutylether beta-cyclodextrin sodium (sbecd), and hydrochloric acid and/or sodium hydroxide."
NCT04638634,13018303,Biological,csl760,an intravenous anti-sars-cov-2 hyperimmune globulin
NCT04593940,13018522,Drug,infliximab,study drug or matching placebo
NCT04593940,13018523,Drug,abatacept,study drug or matching placebo
NCT04593940,13018524,Drug,remdesivir,standard of care
NCT04593940,13018525,Drug,cenicriviroc,study drug or matching placebo
NCT04591210,13018540,Drug,angiotensin converting enzyme inhibitor,"the study recommends physicians to select an acei with proven benefit in cardiovascular diseases such as perindopril, ramipril or enalapril. lab values will be obtained during baseline. the patient will be followed by the physician clinically, with recommended laboratory testing in one week, including renal function, potassium assessment, and dose adjustments as appropriate."
NCT04591210,13018541,Drug,angiotensin receptor blockers,"the study recommends physicians to select evidence-based arbs such as candesartan or valsartan or losartan. lab values will be obtained during baseline. the patient will be followed by the physician clinically, with recommended laboratory testing in one week, and dose adjustments as appropriate."
NCT04589923,13018545,Device,lifelight® data collect blood pressure group,"the staff member will prepare for and take the participant's routine observations using standard clinical equipment during the same 60-second period that video is captured of the participant's face using lifelight® data collect (from which only the rgb data will be uploaded to the cloud). these measurements and rgb data capture will be repeated two times following the initial observations. once measurements are concluded, the study staff member will complete the post-measurement observation questions."
NCT04589923,13018546,Device,lifelight® data collect oxygen saturation group,"the staff member will prepare for and take the participant's routine observations using standard clinical equipment during the same 60-second period that video is captured of the participant's face using lifelight® data collect (from which only the rgb data will be uploaded to the cloud). these measurements and rgb data capture will be repeated two times following the initial observations. once measurements are concluded, the study staff member will complete the post-measurement observation questions."
NCT04583345,13018588,Behavioral,questionnaire,"questionnaires: physical therapists ask questions these assess quality of life, anxiety and depression, physical activity level."
