nct_id,id,allocation,intervention_model,observational_model,primary_purpose,time_perspective,masking,masking_description,intervention_model_description,subject_masked,caregiver_masked,investigator_masked,outcomes_assessor_masked
NCT04431180,6971930,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04410458,6973521,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04370886,6976854,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04368299,6977085,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04306055,6982700,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,,False,False,False,False
NCT04359875,6977842,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,"Cluster randomized trial with 2 subtrials : COVIQuest_CV and COVIQuest_MH.~COVIQuest_CV involves patients ≥ 70 years old suffering from chronic cardiovascular disease; and COVIQuest_MH involves patients suffering from a mental health disease.~As a note, both sub-trials are two-parallel group cluster randomized trials. Clusters will be defined as practices. Practices will be randomized into two groups A and B. For practices in group A: their CV patients constitute the experimental group for the COVIQuest_CV trial, their MH patients constitute the control group for the COVIQuest_MH trial. For practices in group B: their CV patients constitute the control group for the COVIQuest_CV trial, their MH patients constitute the experimental group for the COVIQuest_MH trial.",False,False,False,False
NCT04616989,6957655,Randomized,Parallel Assignment,,Health Services Research,,None (Open Label),,Participants in the intervention arm will receive leaflets about the mental health literacy while those in the control arm will receive COVID-19 leaflets,False,False,False,False
NCT04604743,6958596,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,2) Cluster randomized controlled trial design (N=4 clinics). This design minimizes risk of contamination between participants in different arms and is ideal when settings are similar in population characteristics. Cluster randomized controlled trials are frequently used when interventions are to be carried out at the level of whole groups (clinic populations).,False,False,False,False
NCT04644328,6955557,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"Description of each intervention arm:~Control: there are no procedures Treatment: individuals receive up to 10 Facebook ads over a 2 week period. The ad contains a short video recorded by a physician using the following script: This Thanksgiving, the best way to show your love is to stay home. If you do visit, wear a mask at all times. I'm Dr. XX from XX, and I'm urging you: don't risk spreading COVID. Stay safe, stay home.",False,False,False,False
NCT04389359,6975141,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"PROTECT will use an innovative basket design to conduct a series of prospective, randomised comparisons in multiple vulnerable patient groups in the United Kingdom with the capabilities of assessing effects within specific patients groups, and across the pooled PROTECT cohort. Additional interventions may be added as these become available. Basket Trial design brings greater efficiency, due to running multiple comparisons within one master protocol. It also allows application of innovative Bayesian analysis methods that allow adaptive borrowing of information across populations. This will mean in the case that there is a consistent effect across populations, the trial will have greater power to find significant differences for individual patient groups.",False,False,False,False
NCT04360122,6977821,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"Phase III, randomized, open labelled, clinical trial on one hundred adult healthy healthcare workers",False,False,False,False
NCT04597775,6959132,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"Prospective, Randomized, open-label, three-arm, parallel, adaptive phase II/III controlled study in which subjects will be randomly assigned in a 1:1:1 ratio as per the following:~Arm-1: hydroxychloroquine 800mg (400mg twice daily) given orally on day 1, (loading dose) hydroxychloroquine. Then 400mg (200mg 2 tablets) on day 2,3, 4 and 5.~Arm-2: hydroxychloroquine 400mg (200mg twice daily) Given orally first day (loading dose), then 200mg once daily on day 2,3, 4 and 5.~Arm-3: No Intervention- SARS-CoV-2 surveillance Standard control measures in the country of interest such as self isolation, good personal hygiene and good nutrition.",False,False,False,False
NCT04701710,6951145,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,Randomized controlled 1:1. Experimental Group and Control Group.,False,False,False,False
NCT04354597,6978324,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"Subjects who are enrolled in the study will be randomly assigned to any of the study arms, A or B.~Study Arm A (HCQ & AZ)~Study Arm B (No treatment)",False,False,False,False
NCT04428008,6972173,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,Subjects will be centrally randomized to receive either study treatment drug (Ta1) or no Ta1. Randomization will be stratified by site.,False,False,False,False
NCT04340557,6979613,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,Subjects will be randomized into one of two groups: Standard of Care or Standard of Care plus an ARB.,False,False,False,False
NCT04389333,6975143,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,The investigators recruited 40 patients who have related symptom and healthy people mainly from outpatient clinic or hostipal health examination center. After fully understanding the procedure of nc-MCE，patients with informed consent were randomly divided into MCE group and nc-MCE group(1:1) by using a stratified block randomization(block size four),False,False,False,False
NCT04337541,6979886,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"The participants recruited are people working outside of their home, who have not previously been infected with COVID-19 and who do not wear facial masks (e.g. healthcare personnel) when working. They will be randomized for~Normal behavior according to the authority's recommendations or~Normal behavior according to the authority's recommendations and use of facial masks~Participants will be instructed in using the facial mask consistently when outside their home (and at home when receiving visits from others. The instruction is given in writing and via an instruction video. The participants will be contacted once weekly to optimize compliance. It will be registered if the participants are diagnosed with COVID-19. Participants will perform antibody screening at study start and end. Participants, who are not tested positive for COVID-19 in the study period will perform a swab self-test if experiencing symptoms or when the study ends (instruction video).",False,False,False,False
NCT04384458,6975584,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"The study is a open-blind, randomised trial.",False,False,False,False
NCT04386070,6975435,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"The trial uses a Bayesian adaptive platform design, allowing for termination of arms if their superiority to standard care is established, and addition of new treatment arms. Patients will be randomised 1:1:1:1 to (A) Control (normal practice; neither trial drug), (B) Lopinavir-Ritonavir only, (C) Hydroxychloroquine only, (D) both Lopinavir-Ritonavir and Hydroxychloroquine.",False,False,False,False
NCT04366141,6977284,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"This will be a prospective, open-label, randomized controlled trial in which patients will be randomly allocated to two study groups on a 1:1 basis into:~COVID-19 barrier box Intervention group: Anesthesiologists will use a COVID barrier box during intubation.~Control group: Anesthesiologists will not use a COVID barrier box during intubation. Standard intubation procedures will be followed for intubation.~A block randomization strategy, using a computer-generated sequence of random numbers, will be used. Randomization will occur preoperatively if consented patients meet the eligibility criteria and provide informed consent.",False,False,False,False
NCT04632082,6956496,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,"Two-group randomized clinical trial including health professionals and health students suffering from low to moderate levels of anxiety, depression and irritability symptoms during the COVID-19 outbreak, randomized randomized 1:1 to the Telepsychoeducation with personalized videos (2 sessions with a psychologist plus 2 videos a week for 4 weeks chosen based on symptom presentation) or Telepsychoeducation without personalized videos (2 sessions with a psychologist focused on reassurane and aspects of the outbreak).",False,False,False,False
NCT04499391,6966689,Randomized,Parallel Assignment,,Prevention,,None (Open Label),,stratified cluster randomized design,False,False,False,False
NCT04304053,6982879,Randomized,Parallel Assignment,,Prevention,,None (Open Label),Open label,"Primary study: Cluster-randomized clinical trial of Covid-19 contacts~Secondary study: Randomized clinical trial of Covid-19 cases",False,False,False,False
NCT04496245,6966931,Randomized,Parallel Assignment,,Prevention,,None (Open Label),"Participants will be randomised to the wait list group (Group 1) or the initial intervention group (Group 2) using a one-to-one ratio, stratified by hospital and department [High risk, lower risk].","Participants will be randomized to either Group 1 (waitlist control, delayed treatment group) or Group 2 (initial treatment) for treatment for a period of 3 months with 3 months follow-up off treatment",False,False,False,False
NCT04537585,6963755,Randomized,Parallel Assignment,,Prevention,,None (Open Label),"The fact that you can't really study anything unless there's funding for it because the insurance companies and the hospitals are not going to pay for things on a trial unless there is funding. Then you add to that there is no funding for food as medicine, and things as herbs like Vernonia amygdalina that improve the quality of life in COVID-19 patients and they are not pharmaceutical. Those are sort of the real-world complaints, investigators would say, on the front lines to follow participants in parallel group i.e. compare the ones who take herbs as medicine for their survival and other who use others means to fight COVID-19 symptoms.","Investigators couldn't agree more to wait without to know how to treat their patients better and want to learn about therapeutic nutrition approach called TOMEKA versus prophylaxis dosing of antioxidant as Vernonia amygdalina as a study. Investigators are learning about that here in September, why wasn't that done in April? Investigators would submit to follow a parallel group, just speaking as researchers about randomisation, one of the reasons difficult to reach that elaborate study design is sometimes bureaucracy is just daunting.",False,False,False,False
NCT04662684,6954145,Randomized,Parallel Assignment,,Prevention,,None (Open Label),open-label,"This study aims to evaluate the safety and efficacy of rivaroxaban 10 mg OD for 35+/-4 days versus no intervention after hospital discharge in COVID-19 patients who were at increased risk for VTE and have received standard parenteral VTE prophylaxis during hospitalization, with a composite efficacy endpoint of symptomatic VTE, VTE-related death, and/or VTE detected by mandatory bilateral lower limbs venous duplex scan and computed tomography pulmonary angiogram on day 35+/-4 post-hospital discharge.",False,False,False,False
NCT04563650,6961754,Randomized,Parallel Assignment,,Screening,,None (Open Label),,,False,False,False,False
NCT04438070,6971400,Randomized,Parallel Assignment,,Screening,,None (Open Label),,Cluster randomized multi-center trial,False,False,False,False
NCT04459520,6969751,Randomized,Parallel Assignment,,Screening,,None (Open Label),"Open label (participants will be randomized to receive different scenarios, but will not be aware of the other two scenario types)","Parallel 3-arm, cross-sectional, behavioral intervention study",False,False,False,False
NCT04701502,6951161,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04690920,6951974,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04659746,6954371,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04651387,6955014,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04574219,6960943,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04568876,6961353,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04501445,6966531,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04466605,6969207,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04464486,6969369,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04425720,6972348,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04423289,6972535,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04393636,6974814,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04391140,6975006,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04356690,6978129,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04344587,6979257,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04335279,6980079,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,,False,False,False,False
NCT04632368,6956474,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,"Eligible participants, on enrollment in the study, would be randomly assigned to meditation intervention group vs control group. Control group will be offered intervention at the end of the study",False,False,False,False
NCT04421612,6972664,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,Group one recieve a new module every three days. Group two recive a new module every 5 days.,False,False,False,False
NCT04466800,6969192,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,"Multicenter, randomized, comparative, parallel-group trial",False,False,False,False
NCT04329897,6980574,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,Parallel Assignment Two study groups. The intervention group and the control group that does not receive the intervention,False,False,False,False
NCT04344210,6979291,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,Patients will be randomized in two groups: G1: participants will receive a tele-intervention by a case manager weekly to discuss topics related to diabetes management and mental well-being during the quarantine period ; G2: participants will receive the usual care.,False,False,False,False
NCT04363463,6977524,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,Randomized controlled multicenter trial Ratio 1:1,False,False,False,False
NCT04568564,6961377,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,Randomized controlled trial,False,False,False,False
NCT04587414,6959928,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,"The study is a pragmatic three-arm randomized controlled trial carried out within the primary health care setting. Besides the usual care given to type 2 diabetics, the patients may be assigned either into a 6-month eHealth intervention complemented by face-to-face and telephone counselling contacts on physical activity or into a 6-month eHealth intervention without counselling contacts. After the 6-month intervention, there is a 6-month follow-up period.",False,False,False,False
NCT04696562,6951541,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,"This single-centered, randomized controlled study will be held in Ankara city hospital in Turkey. The investigators used the G*Power (Version 3.1.9) test to determine the sample size. Participants included patients who treated in hospital for covid-19 who fulfilled the inclusion criteria and agreed to participate.~Randomized block assignment was used to assign 44 patients to the intervention group (n = 22) and the control group (n = 22). The investigators did block randomization, via a computer program (sealed envelope, https://www.sealedenvelope.com/ , randomization code: 34780089372265).",False,False,False,False
NCT04329533,6980605,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),,"Two arms including Arm 1 who receives a 30 day free trial of the app at the start of the study and Arm 2 who receives a 30 day free trial at the conclusion of the study. All participants will complete a baseline survey on perceived stress, anxiety, and sleep, a survey on stress at 2 weeks, and all three surveys again one month later.",False,False,False,False
NCT04455360,6970071,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),Patient reported outcomes at 6-months post-hospital discharge,,False,False,False,False
NCT04335097,6980096,Randomized,Parallel Assignment,,Supportive Care,,None (Open Label),Sensor monitoring can not be masked since it is the prerequisite for the measures.,"Two groups, control and intervention.",False,False,False,False
NCT04718285,6949870,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04716556,6950003,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04715295,6950100,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04712344,6950327,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04693026,6951813,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04686760,6952294,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04682574,6952616,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04681859,6952671,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04678739,6952911,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04668209,6953721,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04665115,6953959,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04657484,6954545,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04655716,6954681,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04647695,6955298,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04647669,6955300,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04646655,6955378,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04643691,6955606,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04643054,6955655,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04632043,6956499,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04628143,6956799,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04623385,6957164,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04623255,6957174,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04615741,6957751,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04614025,6957883,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04611256,6958096,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04606407,6958469,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04604678,6958601,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04600999,6958884,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04596839,6959204,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04581811,6960359,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04578236,6960634,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04577534,6960688,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04575064,6960878,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04573855,6960971,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04570397,6961236,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04569266,6961323,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04568096,6961413,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04565665,6961599,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04558476,6962151,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04555148,6962407,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04545008,6963184,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04542694,6963362,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04537975,6963725,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04537351,6963773,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04536935,6963805,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04535700,6963900,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04532931,6964112,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04525378,6964692,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04524598,6964751,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04521400,6964997,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04517123,6965325,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04516837,6965347,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04510662,6965822,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04510233,6965855,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04508868,6965960,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04504240,6966316,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04501783,6966505,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04499313,6966695,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04498936,6966724,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04497324,6966848,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04494867,6967036,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04493359,6967152,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04492358,6967229,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04487444,6967607,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04484493,6967834,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04477655,6968359,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04476979,6968411,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04475588,6968517,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04475120,6968553,Randomized,Parallel Assignment,,Treatment,,None (Open Label),,,False,False,False,False
NCT04657458,6954547,,,,,,,,,False,False,False,False
NCT04657406,6954551,,,,,,,,,False,False,False,False
NCT04646031,6955426,,,,,,,,,False,False,False,False
NCT04617535,6957613,,,,,,,,,False,False,False,False
NCT04597242,6959173,,,,,,,,,False,False,False,False
NCT04472572,6968749,,,,,,,,,False,False,False,False
NCT04453839,6970188,,,,,,,,,False,False,False,False
NCT04445207,6970851,,,,,,,,,False,False,False,False
NCT04420988,6972712,,,,,,,,,False,False,False,False
NCT04389645,6975119,,,,,,,,,False,False,False,False
NCT04374370,6976531,,,,,,,,,False,False,False,False
NCT04372368,6976720,,,,,,,,,False,False,False,False
NCT04363034,6977560,,,,,,,,,False,False,False,False
NCT04360486,6977788,,,,,,,,,False,False,False,False
NCT04358588,6977960,,,,,,,,,False,False,False,False
NCT04358211,6977993,,,,,,,,,False,False,False,False
NCT04355793,6978215,,,,,,,,,False,False,False,False
NCT04355494,6978242,,,,,,,,,False,False,False,False
NCT04352985,6978474,,,,,,,,,False,False,False,False
NCT04346277,6979101,,,,,,,,,False,False,False,False
NCT04338360,6979814,,,,,,,,,False,False,False,False
NCT04338347,6979815,,,,,,,,,False,False,False,False
NCT04337359,6979903,,,,,,,,,False,False,False,False
NCT04323761,6981113,,,,,,,,,False,False,False,False
NCT04302766,6982995,,,,,,,,,False,False,False,False
NCT04288713,6984259,,,,,,,,,False,False,False,False
NCT04706156,6950803,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04659473,6954392,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04592510,6959536,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04576299,6960783,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04556604,6962295,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04553055,6962568,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04506515,6966141,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04487665,6967590,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04476823,6968423,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04475484,6968525,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04449731,6970504,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04424004,6972480,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04423978,6972482,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04422574,6972590,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04412278,6973382,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04395300,6974686,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04394078,6974780,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04383470,6975676,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04380714,6975939,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04377581,6976231,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04357977,6978012,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04351568,6978607,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04344938,6979225,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04344834,6979234,,,Ecologic or Community,,Cross-Sectional,,,,False,False,False,False
NCT04395833,6974645,,,Family-Based,,Cross-Sectional,,,,False,False,False,False
NCT04387708,6975272,,,Family-Based,,Cross-Sectional,,,,False,False,False,False
NCT04353011,6978471,,,Family-Based,,Cross-Sectional,,,,False,False,False,False
NCT04351633,6978601,,,Family-Based,,Cross-Sectional,,,,False,False,False,False
NCT04351399,6978622,,,Family-Based,,Cross-Sectional,,,,False,False,False,False
NCT04727372,6949171,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04726865,6949210,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04697030,6951505,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04674553,6953233,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04667442,6953780,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04661462,6954239,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04631172,6956566,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04604119,6958644,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04581083,6960415,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04568005,6961420,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04561141,6961947,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04560413,6962003,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04558749,6962130,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04549350,6962852,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04537117,6963791,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04534621,6963982,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04512300,6965696,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04503447,6966377,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04500652,6966592,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04487977,6967566,,,Other,,Cross-Sectional,,,,False,False,False,False
NCT04474496,6968601,,,Other,,Cross-Sectional,,,,False,False,False,False
