nct_id,DRUGNAME,DRUGTYPE,DISEASES,DRUGSTAT,TARGNAME
NCT04623021,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04604704,naltrexone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04474457,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04469114,tofacitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04452097,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04411433,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04411433,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04411433,hydroxychloroquine + azithromycin,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04411433,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04363827,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04362813,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04357808,sarilumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04336332,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04331600,chloroquine,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,
NCT04331600,chloroquine,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,
NCT04331600,chloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04649021,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04640168,baricitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN cyclin G-associated kinase (GAK)  GAK_HUMAN
NCT04640168,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04640168,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04640168,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04593940,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04593940,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04593940,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04591210,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04591210,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04546581,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04546581,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04546581,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04530617,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04530617,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04530617,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04501978,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04501978,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04501978,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04357366,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1)  IL1R1_HUMAN
NCT04322396,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04322396,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04312009,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04311177,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04655586,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04649151,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,
NCT04529525,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04470427,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,
NCT04419025,n-acetylcysteine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04373733,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04363502,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04338828,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04335201,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04331834,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04328012,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04283461,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,
NCT04472585,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04472585,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04681053,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04678830,leronlimab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN C-C chemokine receptor 5 (CCR5)   CCR5_HUMAN
NCT04678739,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04678739,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04678739,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04678739,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04673162,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04673149,gls-5300,Vaccine,Middle East Respiratory Syndrome (MERS),Drug in Phase 1/2 Clinical Trial,
NCT04672564,carrimycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04669990,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04669990,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04669990,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04668469,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04668469,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04668209,silmitasertib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN casein kinase II (CSK2)   CSK21_HUMAN; CSK22_HUMAN; CSK23_HUMAN; CSK2B_HUMAN
NCT04667780,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04664010,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04664010,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04664010,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04661540,cm4620,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04661527,sarilumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04530604,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04530578,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04528927,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04528888,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04528888,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04527562,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04527211,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04524663,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04524663,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04524663,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04523571,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04523090,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04522986,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04273581,thalidomide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04522466,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04521400,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04521400,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04521400,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04411433,hydroxychloroquine + azithromycin,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04388826,veru-111,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04388683,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04372589,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04367883,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,
NCT04363346,ft516,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,
NCT04351724,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04351724,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04351724,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04351724,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04351724,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04346199,acalabrutinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN bruton tyrosine kinase (BTK)      BTK_HUMAN
NCT04341584,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1)  IL1R1_HUMAN
NCT04537949,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04476706,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04445272,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04380701,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04380701,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04380701,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04380701,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,
NCT04369469,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04353180,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO)        R1AB_SARS2 (PL-PRO)
NCT04353180,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO)        R1AB_SARS2 (PL-PRO)
NCT04353180,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO)        R1AB_SARS2 (PL-PRO)
NCT04315948,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04315948,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04315948,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04315948,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04315948,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04315948,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04466241,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro)      R1AB_SARS2 (3CLpro)
NCT04466241,telmisartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1)    AGTR1_HUMAN
NCT04409262,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04409262,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04409262,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04409262,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R)     IL6RA_HUMAN; IL6RB_HUMAN
NCT04663737,silmitasertib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN casein kinase II (CSK2)   CSK21_HUMAN; CSK22_HUMAN; CSK23_HUMAN; CSK2B_HUMAN
NCT04402970,dornase alfa,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04382625,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04358549,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04330586,ciclesonide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04662086,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04662086,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04662086,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04662073,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04662073,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04662073,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2) TMPS2_HUMAN
NCT04615429,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04492475,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04492475,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
NCT04492475,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVEMC (RdRp)
NCT04492475,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp)     R1AB_SARS2 (RdRp)
NCT04486508,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04486508,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,
NCT04486313,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04482712,rapamycin,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN mammalian target of rapamycin (mTOR)      MTOR_HUMAN
NCT04482712,rapamycin,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN mammalian target of rapamycin (mTOR)      MTOR_HUMAN
NCT04359680,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04359095,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04348383,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04348071,ruxolitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN janus kinase 2 (JAK-2)    JAK2_HUMAN
NCT04659772,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6)       IL6_HUMAN
NCT04657458,mesenchymal stem cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04652648,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR)      N.A.
NCT04652115,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,
NCT04647695,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,
NCT04647695,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp)     R1AB_CVHSA (RdRp)
