nct_id,id,DRUGID,DRUGNAME,DRUGTYPE,DISEASES,DRUGSTAT,Target Name,PCHEMCID,HIGHSTAT,HIGHDISE
NCT04336332,13003663,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04331600,13003676,DRUG0010,chloroquine,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,,CID: 2719,Withdrawn from market,Malaria
NCT04331600,13003676,DRUG0010,chloroquine,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,,CID: 2719,Withdrawn from market,Malaria
NCT04331600,13003676,DRUG0010,chloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 2719,Withdrawn from market,Malaria
NCT04649021,13018264,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04640168,13018292,DRUG0191,baricitinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN cyclin G-associated kinase (GAK),CID: 44205240,Approved,Rheumatoid arthritis
NCT04640168,13018295,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04640168,13018295,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04640168,13018295,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04593940,13018524,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04593940,13018524,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04593940,13018524,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04591210,13018540,DRUG0114,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 123805,,
NCT04591210,13018541,DRUG0114,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 123805,,
NCT04546581,13018747,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04546581,13018747,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04546581,13018747,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04530617,13018840,DRUG0171,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04530617,13018840,DRUG0171,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04530617,13018840,DRUG0171,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04501978,13018963,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04501978,13018963,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04501978,13018963,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04357366,13019514,DRUG0225,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1),CID: 139595263,Approved,Rheumatoid arthritis
NCT04322396,13019606,DRUG0123,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,CID: 447043,Approved,Bronchitis
NCT04322396,13019607,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04312009,13019633,DRUG0239,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1),CID: 3961,Approved,Hypertension
NCT04311177,13019637,DRUG0239,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1),CID: 3961,Approved,Hypertension
NCT04655586,13025443,DRUG0145,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,,CID: 772,Approved,Venous thrombosis
NCT04649151,13025455,DRUG0038,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,,,,
NCT04529525,13025891,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04470427,13026073,DRUG0038,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,,,,
NCT04419025,13026239,DRUG0069,n-acetylcysteine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 12035,Approved,Cystic fibrosis
NCT04373733,13026367,DRUG0234,favipiravir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 4424075,Approved,Influenza virus infection
NCT04363502,13026386,DRUG0247,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6),SID: 160671637,,
NCT04338828,13026439,DRUG0072,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 145068,Approved,Hypertension
NCT04335201,13026451,DRUG0076,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 135565962,Approved,Hepatic Veno-Occlusive Disease
NCT04331834,13026456,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04328012,13026465,DRUG0239,losartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1),CID: 3961,Approved,Hypertension
NCT04283461,13026557,DRUG0038,mrna-1273,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,,,,
NCT04472585,13031367,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04472585,13031371,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04681053,12289038,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04678830,12289299,DRUG0164,leronlimab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN C-C chemokine receptor 5 (CCR5),,,
NCT04678739,12289310,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04678739,12289310,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04678739,12289310,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04678739,12289311,DRUG0203,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R),,Approved,Giant cell arteritis
NCT04673162,12290003,DRUG0124,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,CID: 6741,Approved,Rheumatoid arthritis
NCT04673149,12290004,DRUG0021,gls-5300,Vaccine,Middle East Respiratory Syndrome (MERS),Drug in Phase 1/2 Clinical Trial,,,,
NCT04672564,12290068,DRUG0071,carrimycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,,,
NCT04669990,12290368,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04669990,12290368,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04669990,12290368,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04668469,12290555,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04668469,12290556,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04668209,12290604,DRUG0257,silmitasertib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN casein kinase II (CSK2),CID: 24748573,Phase 1/2,Cholangiocarcinoma
NCT04667780,12290659,DRUG0073,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 6167,Approved,Gout
NCT04664010,12291123,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04664010,12291124,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04664010,12291125,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04661540,12291445,DRUG0079,cm4620,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 122507647,,
NCT04661527,12291447,DRUG0204,sarilumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R),,Approved,Rheumatoid arthritis
NCT04530604,12307449,DRUG0076,defibrotide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 135565962,Approved,Hepatic Veno-Occlusive Disease
NCT04530578,12307452,DRUG0145,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,,CID: 772,Approved,Venous thrombosis
NCT04528927,12307662,DRUG0123,azithromycin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,CID: 447043,Approved,Bronchitis
NCT04528888,12307667,DRUG0124,methylprednisolone,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,CID: 6741,Approved,Rheumatoid arthritis
NCT04528888,12307668,DRUG0145,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,,CID: 772,Approved,Venous thrombosis
NCT04527562,12307828,DRUG0073,colchicine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 6167,Approved,Gout
NCT04527211,12307876,DRUG0111,ivermectin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 6321424,Approved,Onchocerciasis
NCT04524663,12308185,DRUG0171,camostat mesylate,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04524663,12308185,DRUG0171,camostat mesylate,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04524663,12308185,DRUG0171,camostat mesylate,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN transmembrane protease serine 2 (TMPRSS2),CID: 5284360,,
NCT04523571,12308317,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04523090,12308372,DRUG0127,nitazoxanide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,CID: 41684,Approved,Diarrhea
NCT04522986,12308380,DRUG0109,mesenchymal stromal cells,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,,,
NCT04273581,12341195,DRUG0068,thalidomide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 5426,Approved,Multiple myeloma
NCT04522466,12308441,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04521400,12308565,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04521400,12308566,DRUG0220,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro),CID: 11979606,Approved,Human immunodeficiency virus infection
NCT04521400,12308567,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04411433,12929374,DRUG0133,hydroxychloroquine + azithromycin,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,,
NCT04388826,12929475,DRUG0306,veru-111,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 53379371,,
NCT04388683,12929476,DRUG0072,nitric oxide,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,CID: 145068,Approved,Hypertension
NCT04372589,12929527,DRUG0145,heparin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,,CID: 772,Approved,Venous thrombosis
NCT04367883,12929546,DRUG0114,angiotensin,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2/3 Clinical Trial,,CID: 123805,,
NCT04363346,12929557,DRUG0053,ft516,Cell therapy,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1 Clinical Trial,,,,
NCT04351724,12929600,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04351724,12929601,DRUG0220,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro),CID: 11979606,Approved,Human immunodeficiency virus infection
NCT04351724,12929607,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04351724,12929607,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04351724,12929607,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04346199,12929621,DRUG0163,acalabrutinib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN bruton tyrosine kinase (BTK),CID: 71226662,Approved,Leukemia
NCT04341584,12929633,DRUG0225,anakinra,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-1 receptor 1 (IL1R1),CID: 139595263,Approved,Rheumatoid arthritis
NCT04537949,12936856,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04476706,12937057,DRUG0247,clazakizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,HUMAN interleukin 6 (IL6),SID: 160671637,,
NCT04445272,12937171,DRUG0203,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R),,Approved,Giant cell arteritis
NCT04380701,12937379,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04380701,12937380,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04380701,12937381,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04380701,12937382,DRUG0056,bnt162b2,Vaccine,Coronavirus Disease 2019 (COVID-19),Drug in Phase 1/2 Clinical Trial,,,,
NCT04369469,12937417,DRUG0203,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R),,Approved,Giant cell arteritis
NCT04353180,12937458,DRUG0205,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO),CID: 5282379,,
NCT04353180,12937459,DRUG0205,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO),CID: 5282379,,
NCT04353180,12937460,DRUG0205,isotretinoin,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 papain-like proteinase (PL-PRO),CID: 5282379,,
NCT04315948,12937550,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04315948,12937550,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04315948,12937550,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04315948,12937551,DRUG0220,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro),CID: 11979606,Approved,Human immunodeficiency virus infection
NCT04315948,12937552,DRUG0129,interferon beta-1a,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,,,Approved,Multiple sclerosis
NCT04315948,12937553,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
NCT04466241,12942948,DRUG0220,lopinavir + ritonavir,Combination drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 3C-like protease (3CLpro),CID: 11979606,Approved,Human immunodeficiency virus infection
NCT04466241,12942949,DRUG0238,telmisartan,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN type-1 angiotensin II receptor (AGTR1),CID: 65999,Approved,Hypertension
NCT04409262,12943074,DRUG0233,remdesivir,Small molecular drug,Severe acute respiratory syndrome (SARS),Investigative Agent,SARS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04409262,12943074,DRUG0233,remdesivir,Small molecular drug,Middle East Respiratory Syndrome (MERS),Investigative Agent,MERS-CoV RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04409262,12943074,DRUG0233,remdesivir,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,COVID-19 RNA-directed RNA polymerase (RdRp),CID: 121304016,,
NCT04409262,12943075,DRUG0203,tocilizumab,Monoclonal antibody,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN interleukin-6 receptor (IL6R),,Approved,Giant cell arteritis
NCT04663737,12946726,DRUG0257,silmitasertib,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Investigative Agent,HUMAN casein kinase II (CSK2),CID: 24748573,Phase 1/2,Cholangiocarcinoma
NCT04402970,12947333,DRUG0093,dornase alfa,Protein/peptide drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 2 Clinical Trial,,,Approved,Cystic fibrosis
NCT04382625,12947378,DRUG0192,hydroxychloroquine,Small molecular drug,Coronavirus Disease 2019 (COVID-19),Drug in Phase 3 Clinical Trial,HUMAN glycosylation of host receptor (GHR),CID: 3652,Approved,Malaria
