nct_id,id,downcase_name
NCT04389671,12460094,acute lung injury/acute respiratory distress syndrome (ards)
NCT04482712,13114324,acute lung injury/acute respiratory distress syndrome (ards)
NCT04666025,12419648,acute lymphoblastic leukemia
NCT04305457,12474247,acute respiratory distress syndrome
NCT04308668,12473681,acute respiratory distress syndrome
NCT04311177,13157081,acute respiratory distress syndrome
NCT04312009,13157074,acute respiratory distress syndrome
NCT04316884,12472221,acute respiratory distress syndrome
NCT04331613,12469803,acute respiratory distress syndrome
NCT04335786,12469078,acute respiratory distress syndrome
NCT04337190,12468841,acute respiratory distress syndrome
NCT04355728,12465793,acute respiratory distress syndrome
NCT04357730,12465469,acute respiratory distress syndrome
NCT04373200,12462856,acute respiratory distress syndrome
NCT04376905,12462243,acute respiratory distress syndrome
NCT04383678,12461088,acute respiratory distress syndrome
NCT04390152,12460023,acute respiratory distress syndrome
NCT04433546,12453681,acute respiratory distress syndrome
NCT04442958,12452253,acute respiratory distress syndrome
NCT04449081,12451367,acute respiratory distress syndrome
NCT04452097,13049958,acute respiratory distress syndrome
NCT04530604,12439320,acute respiratory distress syndrome
NCT04615429,13113345,acute respiratory distress syndrome
NCT04708340,13112557,acute respiratory distress syndrome
NCT04321616,12471491,acute respiratory distress syndrome ards
NCT04395456,13180296,acute respiratory distress syndrome due to sars-cov-2 infection (severe covid19)
NCT04327505,12470539,acute respiratory failure
NCT04397497,12458938,acute respiratory failure
NCT04474236,12447665,acute respiratory failure
NCT04303507,12474534,acute respiratory illnesses
NCT04332991,12469596,acute respiratory infection
NCT04346693,12467298,acute respiratory insufficiency
NCT04346693,12467297,acute respiratory tract infection
NCT04579640,12432317,acute respiratory tract infection
NCT04568811,13124828,adenovirus type-5 vectored covid-19 vaccine
NCT04442217,12452366,adherence to viral mitigation protocols
NCT04442217,12452365,adherence to who-advised hygiene-related behavior
NCT04404192,12457889,adjustment disorder with anxious mood
NCT04693052,12415861,adjustment disorders
NCT04432038,13114601,adult
NCT04660422,12420584,advanced care planning
NCT04333914,12469453,advanced or metastatic hematological or solid tumor
NCT04570488,12433605,adverse event
NCT04547218,12436887,age problem
NCT04395859,12459185,age related macular degeneration
NCT04492527,12445002,aging
NCT04492527,12445003,aging problems
NCT04385576,12460788,airway
NCT04449042,12451380,airway management
NCT04517630,13114097,aki
NCT04597034,12429756,aki
NCT04391816,13180306,alcohol drinking
NCT04391816,13180307,alcohol-related disorders
NCT04360096,13180345,ali
NCT04356417,12465683,"amd, acei's/arb prevent/worsen risk of covid-19 infection"
NCT04594460,12430162,ams-h-03
NCT03944447,12526690,amyotrophic lateral sclerosis
NCT04364009,12464433,anakinra treatment
NCT04365101,12464247,analgesics
NCT04387253,12460494,analysis laboratories of the poitiers chu
NCT04325867,12470786,angina pectoris
NCT04325867,12470790,angioplasty
NCT04377815,12462098,anosmia
NCT04422275,12455332,anosmia
NCT04657809,13179727,anosmia
NCT04715932,13179542,anosmia
NCT04365101,12464246,anti-infective agents
NCT04495764,13180130,anti-sars-cov-2 infection
NCT04544072,12437347,antibiotic resistance
NCT04405232,12457742,anticoagulation
NCT04544072,12437345,antimicrobial stewardship
NCT04365101,12464245,antiviral agents
NCT04319445,12471838,anxiety
NCT04329533,12470193,anxiety
NCT04351789,12466446,anxiety
NCT04367363,12463865,anxiety
NCT04367636,13180338,anxiety
NCT04374786,12462592,anxiety
NCT04376515,12462303,anxiety
NCT04377100,13180326,anxiety
NCT04414371,12456448,anxiety
NCT04417673,13180255,anxiety
NCT04431856,12453936,anxiety
NCT04442243,12452362,anxiety
NCT04442308,12452351,anxiety
NCT04443764,12452115,anxiety
NCT04444336,12452046,anxiety
NCT04453566,12450670,anxiety
NCT04473599,12447775,anxiety
NCT04476914,13114347,anxiety
NCT04517006,12441268,anxiety
NCT04595123,13137978,anxiety
NCT04635618,12424122,anxiety
