"ID","URL","PDF","Country","Region","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Patient setting","Outcome","Treatment","Size"
"NCT04629703","https://ClinicalTrials.gov/show/NCT04629703",NA,"Brazil","Sao Paulo","2020-Nov","2021-Aug","Recruiting","Randomised","Double",2,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization","Other, Standard of care",308
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"United States","California","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"United States","Florida","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"United States","Michigan","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"United States","Tennessee","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"United States","Texas","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"Australia","Canberra","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"Brazil","Brasilia","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"Mexico","Aguascalientes","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"Mexico","Mexico","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04551898","https://ClinicalTrials.gov/show/NCT04551898",NA,"South Africa","Pretoria","2020-Sep","2021-Jan","Completed","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Serious Adverse Events, Weight, Height or BMI","Other, Standard of care",181
"NCT04779879","https://ClinicalTrials.gov/show/NCT04779879",NA,"United States","Alabama","2021-Mar","2021-Apr","Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient","Serious Adverse Events, ECG","Monoclonal antibody",40
"NCT04779879","https://ClinicalTrials.gov/show/NCT04779879",NA,"United States","California","2021-Mar","2021-Apr","Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient","Serious Adverse Events, ECG","Monoclonal antibody",40
"NCT04779879","https://ClinicalTrials.gov/show/NCT04779879",NA,"United States","Florida","2021-Mar","2021-Apr","Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient","Serious Adverse Events, ECG","Monoclonal antibody",40
"NCT04779879","https://ClinicalTrials.gov/show/NCT04779879",NA,"United States","Illinois","2021-Mar","2021-Apr","Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient","Serious Adverse Events, ECG","Monoclonal antibody",40
"NCT04779879","https://ClinicalTrials.gov/show/NCT04779879",NA,"United States","Maryland","2021-Mar","2021-Apr","Recruiting","Randomised","Quadruple",2,"Confirmed","Outpatient","Serious Adverse Events, ECG","Monoclonal antibody",40
"NCT04780685","https://ClinicalTrials.gov/show/NCT04780685",NA,"United States","California","2021-Mar","2021-Aug","Recruiting","Randomised","Quadruple",2,"Confirmed","Hospital","Adverse Events, Radiographic Findings","Stem cells",40
"NCT04780685","https://ClinicalTrials.gov/show/NCT04780685",NA,"United States","Texas","2021-Mar","2021-Aug","Recruiting","Randomised","Quadruple",2,"Confirmed","Hospital","Adverse Events, Radiographic Findings","Stem cells",40
"NCT04780581","https://ClinicalTrials.gov/show/NCT04780581",NA,"Spain","Burgos","2021-Mar","2021-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Mortality, ICU Admission, Adverse Events","Corticosteroids, Dexamethasone",290
"NCT04780581","https://ClinicalTrials.gov/show/NCT04780581",NA,"Spain","Madrid","2021-Mar","2021-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Mortality, ICU Admission, Adverse Events","Corticosteroids, Dexamethasone",290
"NCT04780581","https://ClinicalTrials.gov/show/NCT04780581",NA,"Spain","Salamanca","2021-Mar","2021-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Mortality, ICU Admission, Adverse Events","Corticosteroids, Dexamethasone",290
"NCT04780581","https://ClinicalTrials.gov/show/NCT04780581",NA,"Spain","Valladolid","2021-Mar","2021-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Mortality, ICU Admission, Adverse Events","Corticosteroids, Dexamethasone",290
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Alabama","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","California","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Colorado","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","District Of Columbia","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Florida","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Georgia","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Hawaii","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Illinois","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Iowa","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Louisiana","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Maryland","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Massachusetts","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Michigan","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Minnesota","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Missouri","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Nebraska","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","New Jersey","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","New Mexico","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","New York","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","North Carolina","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Oklahoma","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Oregon","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Pennsylvania","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Texas","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Utah","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Virginia","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"United States","Washington","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"Japan","Tokyo","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"South Korea","Gyeonggi","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"South Korea","Seoul","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"Mexico","Mexico","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04640168","https://ClinicalTrials.gov/show/NCT04640168",NA,"Singapore","Singapore","2020-Nov","2021-Apr","Recruiting","Randomised","Double",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein, White Blood Cell Count, Platelet Count, Hemoglobin, D-Dimer, Prothrombin, ALT, AST, Bilirubin, Glucose","Remdesivir + Dexamethasone, Remdesivir + JAKi",1500
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Arizona","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","California","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Florida","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Georgia","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Illinois","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Nebraska","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","Nevada","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","New York","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","North Carolina","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
"NCT04723394","https://ClinicalTrials.gov/show/NCT04723394",NA,"United States","North Dakota","2021-Jan","2021-Jun","Recruiting","Randomised","Triple",2,"Confirmed","Outpatient","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever","mAb, Standard of care",1700
